G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,FTR,hAST%,TOV%,AST-TOV,DREB%,OREB%,POSS,Year_Number,GmSc-Per-PTS,GmSc-Per-FT,FTR-Per-FGA,PTS-Per-TOV,PTS-Per-POSS,game_result-Per-PTS,PER,PER-Per-PTS,STLS-and-BLKS,STL-BLK-Per-PF,Won,High-3P%-Shooting,High-FG%-Shooting,Over-3-BLKs-and-STLs,Played-Above-Avg-Min,Above-Avg-FT%,Career-Stage,Above-Avg-PTS-Per-POSS,More-BLKs-Than-STLs,More-AST-Than-TOV,PTS-Cat,2P,2PA,2P%,2P%-Above-50%,More than 3 Fouls,FTR-Above-Avg,Less-Than-3-TOV,PTS-Per-Min,%-Avg,PER-Per-TOV,off_rating,off_rating_above_avg,More-Than-Avg-POSS,Above-Avg-GmSc
11,2003-11-18,18,CLE,True,LAC,8,True,39,6.0,16.0,0.375,0.0,2.0,0.0,2.0,4.0,0.5,2.0,5.0,7.0,8.0,0.0,1.0,3.0,2.0,14.0,9.8,1.0,0.3910614525139665,0.125,0.2768166089965398,0.10380622837370244,2.6666666666666665,0.7142857142857143,0.2857142857142857,18.76,1,0.7000000000000001,4.9,0.0078125,4.666666666666667,0.7462686567164178,0.5714285714285714,11.526923076923087,0.8233516483516489,1.0,0.3333333333333333,True,False,False,False,True,False,rising,False,True,True,below 20,6.0,14.0,0.42857142857142855,False,False,False,False,0.358974358974359,0.21428571428571427,3.8423076923076955,74.62686567164178,False,False,False
12,2003-11-19,18,CLE,False,WAS,-11,True,39,10.0,18.0,0.556,2.0,4.0,0.5,6.0,8.0,0.75,2.0,5.0,7.0,8.0,2.0,1.0,4.0,2.0,28.0,25.0,-5.0,0.6422018348623852,0.3333333333333333,0.2366863905325444,0.1183431952662722,2.0,0.7142857142857143,0.2857142857142857,23.52,1,0.8928571428571429,4.166666666666667,0.018518518518518517,7.0,1.1904761904761905,-0.3928571428571429,31.188743589743584,1.1138836996336994,3.0,0.75,False,True,True,False,True,True,rising,True,False,True,below 35,8.0,14.0,0.5714285714285714,True,False,True,False,0.717948717948718,0.5357142857142857,7.797185897435896,119.04761904761905,True,False,True
13,2003-11-21,18,CLE,True,MIN,-14,True,35,8.0,19.0,0.421,0.0,2.0,0.0,3.0,3.0,1.0,2.0,7.0,9.0,2.0,1.0,0.0,1.0,4.0,19.0,12.2,-5.0,0.4651162790697674,0.15789473684210525,0.08537886872998933,0.042689434364994665,2.0,0.7777777777777778,0.2222222222222222,19.32,1,0.6421052631578947,4.066666666666666,0.008310249307479223,19.0,0.9834368530020704,-0.7368421052631579,16.534628571428573,0.8702436090225565,1.0,1.0,False,False,False,False,False,True,rising,False,False,True,below 20,8.0,17.0,0.4705882352941176,False,True,False,True,0.5428571428571428,0.2352941176470588,16.534628571428573,98.34368530020704,False,False,False
14,2003-11-22,18,CLE,False,ATL,-9,True,42,3.0,16.0,0.188,0.0,1.0,0.0,9.0,10.0,0.9,2.0,4.0,6.0,4.0,2.0,1.0,3.0,1.0,15.0,9.3,-6.0,0.3614457831325301,0.5625,0.14414414414414414,0.10810810810810813,1.3333333333333333,0.6666666666666666,0.3333333333333333,21.4,1,0.62,1.0333333333333334,0.03515625,5.0,0.7009345794392524,-0.6,9.376404761904759,0.6250936507936508,3.0,1.0,False,False,False,False,True,True,rising,False,False,True,below 20,3.0,15.0,0.2,False,False,True,False,0.35714285714285715,0.1,3.125468253968253,70.09345794392524,False,False,False
15,2003-11-26,18,CLE,False,NOH,-10,True,38,5.0,17.0,0.294,1.0,4.0,0.25,4.0,4.0,1.0,2.0,6.0,8.0,9.0,0.0,0.0,4.0,1.0,15.0,10.2,-13.0,0.3968253968253969,0.2352941176470588,0.2821316614420063,0.12539184952978058,2.25,0.75,0.25,20.76,1,0.6799999999999999,2.55,0.01384083044982699,3.75,0.722543352601156,-0.6666666666666666,11.693684210526312,0.7795789473684208,0.0,0.0,False,False,False,False,True,True,rising,False,False,True,below 20,4.0,13.0,0.3076923076923077,False,False,False,False,0.39473684210526316,0.27884615384615385,2.923421052631578,72.2543352601156,False,False,False
16,2003-11-28,18,CLE,False,DET,-4,True,36,2.0,8.0,0.25,0.0,2.0,0.0,2.0,3.0,0.667,0.0,2.0,2.0,7.0,0.0,0.0,4.0,3.0,6.0,1.1,-10.0,0.3183023872679045,0.25,0.3427172582619339,0.19583843329253364,1.75,1.0,0.0,13.32,1,0.18333333333333332,0.55,0.03125,1.5,0.4504504504504505,-0.6666666666666666,0.425611111111112,0.07093518518518532,0.0,0.0,False,False,False,False,False,False,rising,False,False,True,below 20,2.0,6.0,0.3333333333333333,False,False,False,False,0.16666666666666666,0.16666666666666666,0.106402777777778,45.04504504504504,False,False,False
17,2003-11-29,18,CLE,True,MEM,-7,True,54,14.0,28.0,0.5,3.0,6.0,0.5,2.0,3.0,0.667,2.0,14.0,16.0,7.0,1.0,1.0,8.0,1.0,33.0,22.4,-10.0,0.5607476635514018,0.07142857142857142,0.15756893640967926,0.18007878446820486,0.875,0.875,0.125,35.32,1,0.6787878787878787,11.2,0.0025510204081632647,4.125,0.9343148357870896,-0.21212121212121213,19.531555555555567,0.5918653198653202,2.0,0.25,False,True,False,False,True,False,rising,False,False,False,below 35,11.0,22.0,0.5,False,False,False,False,0.6111111111111112,0.5,2.441444444444446,93.43148357870895,False,True,True
18,2003-12-02,18,CLE,False,DEN,-12,True,32,6.0,19.0,0.316,2.0,3.0,0.667,5.0,7.0,0.7140000000000001,3.0,3.0,6.0,5.0,2.0,0.0,2.0,4.0,19.0,12.2,-12.0,0.425531914893617,0.2631578947368421,0.17050298380221654,0.06820119352088662,2.5,0.5,0.5,21.08,1,0.6421052631578947,2.44,0.013850415512465374,9.5,0.9013282732447818,-0.631578947368421,17.810218750000008,0.9373799342105268,2.0,1.0,False,True,False,False,False,False,rising,False,False,True,below 20,4.0,16.0,0.25,False,True,False,True,0.59375,0.4585,8.905109375000004,90.13282732447819,False,False,False
19,2003-12-03,18,CLE,False,LAC,-10,True,34,2.0,13.0,0.154,0.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,8.0,2.0,0.0,5.0,2.0,4.0,0.9,3.0,0.15384615384615385,0.0,0.3076923076923077,0.19230769230769232,1.6,0.3333333333333333,0.6666666666666666,14.0,1,0.225,0.0,0.0,0.8,0.2857142857142857,-2.5,0.24355882352941194,0.060889705882352985,2.0,0.4,False,False,False,False,False,False,rising,False,False,True,below 20,2.0,10.0,0.2,False,False,False,False,0.11764705882352941,0.1,0.048711764705882385,28.571428571428573,False,False,False
20,2003-12-06,18,CLE,True,ATL,10,True,36,4.0,12.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,5.0,2.0,1.0,3.0,2.0,8.0,5.8,-5.0,0.3333333333333333,0.0,0.25,0.15,1.6666666666666667,0.8333333333333334,0.16666666666666666,14.0,1,0.725,0.0,0.0,2.6666666666666665,0.5714285714285714,1.25,7.421527777777777,0.9276909722222221,3.0,1.0,True,False,False,False,False,False,rising,False,False,True,below 20,4.0,10.0,0.4,False,False,False,False,0.2222222222222222,0.2,2.473842592592592,57.142857142857146,False,False,False
21,2003-12-09,18,CLE,True,TOR,-7,True,37,7.0,16.0,0.438,0.0,0.0,0.0,4.0,4.0,1.0,0.0,5.0,5.0,3.0,1.0,0.0,2.0,2.0,18.0,11.4,-2.0,0.5027932960893855,0.25,0.13100436681222707,0.08733624454148473,1.5,1.0,0.0,19.76,1,0.6333333333333333,2.85,0.015625,9.0,0.9109311740890688,-0.3888888888888889,14.198945945945951,0.7888303303303307,1.0,0.5,False,False,False,False,False,True,rising,False,False,True,below 20,7.0,16.0,0.4375,False,False,False,True,0.4864864864864865,0.21875,7.0994729729729755,91.09311740890688,False,False,False
22,2003-12-11,18,CLE,True,DET,9,True,42,8.0,21.0,0.381,1.0,3.0,0.333,6.0,8.0,0.75,1.0,2.0,3.0,9.0,1.0,1.0,4.0,3.0,23.0,14.8,9.0,0.4637096774193548,0.2857142857142857,0.2380952380952381,0.10582010582010584,2.25,0.6666666666666666,0.3333333333333333,27.52,1,0.6434782608695653,2.466666666666667,0.013605442176870748,5.75,0.8357558139534884,0.39130434782608703,16.12211904761905,0.7009616977225674,2.0,0.5,True,False,False,False,True,True,rising,False,False,True,below 35,7.0,18.0,0.3888888888888889,False,False,False,False,0.5476190476190477,0.36094444444444446,4.030529761904763,83.57558139534883,False,True,False
23,2003-12-13,18,CLE,True,BOS,-7,True,45,10.0,20.0,0.5,1.0,5.0,0.2,16.0,18.0,0.889,1.0,2.0,3.0,4.0,0.0,0.0,2.0,2.0,37.0,27.5,-2.0,0.6479859894921192,0.8,0.11577424023154848,0.05788712011577425,2.0,0.6666666666666666,0.3333333333333333,28.92,1,0.7432432432432432,1.71875,0.04,18.5,1.2793914246196405,-0.1891891891891892,28.743666666666666,0.7768558558558558,0.0,0.0,False,False,False,False,True,True,rising,True,False,True,above 35,9.0,15.0,0.6,True,False,True,True,0.8222222222222222,0.4,14.371833333333333,127.93914246196402,True,True,True
24,2003-12-15,18,CLE,False,IND,-10,True,43,10.0,16.0,0.625,0.0,3.0,0.0,7.0,8.0,0.875,1.0,3.0,4.0,6.0,3.0,3.0,6.0,1.0,27.0,23.9,-12.0,0.6818181818181818,0.4375,0.18867924528301885,0.18867924528301885,1.0,0.75,0.25,24.52,1,0.8851851851851852,3.414285714285714,0.02734375,4.5,1.101141924959217,-0.3703703703703704,27.020046511627914,1.0007424633936262,6.0,1.0,False,False,True,True,True,True,rising,True,False,False,below 35,10.0,13.0,0.7692307692307693,True,False,True,False,0.627906976744186,0.38461538461538464,4.503341085271319,110.1141924959217,True,False,True
25,2003-12-17,18,CLE,True,HOU,-4,True,36,7.0,19.0,0.368,2.0,4.0,0.5,1.0,2.0,0.5,0.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,17.0,5.7,-9.0,0.4260651629072682,0.05263157894736842,0.12024048096192386,0.08016032064128256,1.5,1.0,0.0,21.88,1,0.33529411764705885,5.7,0.002770083102493075,8.5,0.7769652650822669,-0.2352941176470588,6.6098333333333334,0.38881372549019616,0.0,0.0,False,True,False,False,False,False,rising,False,False,True,below 20,5.0,15.0,0.3333333333333333,False,False,False,True,0.4722222222222222,0.41666666666666663,3.3049166666666667,77.6965265082267,False,False,False
26,2003-12-19,18,CLE,False,PHI,7,True,41,14.0,24.0,0.583,5.0,7.0,0.7140000000000001,3.0,3.0,1.0,1.0,3.0,4.0,5.0,4.0,0.0,4.0,1.0,36.0,29.5,9.0,0.7079646017699115,0.125,0.14524328249818447,0.11619462599854755,1.25,0.75,0.25,28.32,1,0.8194444444444444,9.833333333333334,0.005208333333333333,9.0,1.2711864406779658,0.19444444444444445,35.35809756097561,0.9821693766937668,4.0,1.0,True,True,True,True,True,True,rising,True,False,True,above 35,9.0,17.0,0.5294117647058824,True,False,False,False,0.8780487804878049,0.6217058823529412,8.839524390243902,127.11864406779661,True,True,True
27,2003-12-20,18,CLE,False,CHI,8,True,41,11.0,22.0,0.5,0.0,5.0,0.0,10.0,12.0,0.833,1.0,5.0,6.0,10.0,2.0,2.0,4.0,2.0,32.0,28.0,9.0,0.5776173285198556,0.4545454545454545,0.2398081534772182,0.09592326139088728,2.5,0.8333333333333334,0.16666666666666666,30.28,1,0.875,2.8,0.02066115702479339,8.0,1.056803170409511,0.25,32.63221951219512,1.0197568597560975,4.0,1.0,True,False,False,True,True,True,rising,False,False,True,below 35,11.0,17.0,0.6470588235294118,True,False,True,False,0.7804878048780488,0.3235294117647059,8.15805487804878,105.68031704095112,False,True,True
28,2003-12-23,18,CLE,True,NOH,11,True,39,7.0,22.0,0.318,1.0,6.0,0.16699999999999998,7.0,8.0,0.875,2.0,4.0,6.0,2.0,6.0,1.0,5.0,1.0,22.0,14.3,9.0,0.4263565891472868,0.3181818181818182,0.060975609756097573,0.15243902439024393,0.4,0.6666666666666666,0.3333333333333333,28.52,1,0.65,2.042857142857143,0.014462809917355372,4.4,0.7713884992987378,0.5,16.809641025641035,0.7640745920745925,7.0,1.4,True,False,False,True,True,True,rising,False,False,False,below 35,6.0,16.0,0.375,False,False,True,False,0.5641025641025641,0.271,3.361928205128207,77.13884992987377,False,True,False
29,2003-12-25,18,CLE,False,ORL,-12,True,47,13.0,28.0,0.464,4.0,10.0,0.4,4.0,5.0,0.8,1.0,1.0,2.0,6.0,2.0,1.0,8.0,0.0,34.0,19.1,-9.0,0.5596707818930041,0.14285714285714285,0.1352112676056338,0.18028169014084508,0.75,0.5,0.5,37.2,1,0.5617647058823529,4.775,0.005102040816326529,4.25,0.913978494623656,-0.35294117647058826,18.7460425531915,0.5513541927409265,3.0,0.375,False,False,False,False,True,True,rising,False,False,False,below 35,9.0,18.0,0.5,False,False,False,False,0.723404255319149,0.45,2.3432553191489376,91.39784946236558,False,True,False
30,2003-12-26,18,CLE,True,CHI,-7,True,34,7.0,24.0,0.292,1.0,4.0,0.25,3.0,4.0,0.75,1.0,2.0,3.0,4.0,1.0,2.0,5.0,0.0,18.0,5.1,-12.0,0.3474903474903475,0.125,0.11461318051575932,0.14326647564469916,0.8,0.6666666666666666,0.3333333333333333,29.76,1,0.2833333333333333,1.7,0.005208333333333333,3.6,0.6048387096774194,-0.3888888888888889,5.218970588235296,0.2899428104575164,3.0,0.6,False,False,False,False,False,True,rising,False,True,False,below 20,6.0,20.0,0.3,False,False,False,False,0.5294117647058824,0.275,1.043794117647059,60.48387096774193,False,True,False
31,2003-12-28,18,CLE,True,POR,12,True,39,15.0,23.0,0.652,0.0,2.0,0.0,2.0,2.0,1.0,3.0,7.0,10.0,9.0,3.0,0.0,5.0,1.0,32.0,30.0,11.0,0.6680584551148225,0.08695652173913042,0.23715415019762845,0.13175230566534912,1.8,0.7,0.3,25.88,1,0.9375,15.0,0.003780718336483932,6.4,1.2364760432766615,0.375,37.858051282051285,1.1830641025641024,3.0,0.6,True,False,True,False,True,True,rising,True,False,True,below 35,15.0,21.0,0.7142857142857143,True,False,False,False,0.8205128205128205,0.35714285714285715,7.571610256410257,123.64760432766616,True,True,True
32,2003-12-30,19,CLE,True,IND,-3,True,38,9.0,20.0,0.45,0.0,4.0,0.0,4.0,6.0,0.667,2.0,8.0,10.0,4.0,0.0,0.0,4.0,2.0,22.0,12.6,-2.0,0.4814004376367614,0.2,0.12965964343598055,0.12965964343598055,1.0,0.8,0.2,24.64,1,0.5727272727272728,3.15,0.01,5.5,0.8928571428571428,-0.13636363636363635,15.108052631578946,0.6867296650717702,0.0,0.0,False,False,False,False,True,False,rising,False,False,False,below 35,9.0,16.0,0.5625,True,False,False,False,0.5789473684210527,0.28125,3.7770131578947366,89.28571428571428,False,False,False
33,2004-01-02,19,CLE,False,NJN,-15,True,36,6.0,19.0,0.316,0.0,4.0,0.0,2.0,4.0,0.5,1.0,3.0,4.0,9.0,1.0,0.0,3.0,2.0,14.0,7.4,-14.0,0.3349282296650718,0.10526315789473684,0.27355623100303955,0.0911854103343465,3.0,0.75,0.25,22.76,2,0.5285714285714286,3.7,0.00554016620498615,4.666666666666667,0.6151142355008787,-1.0714285714285714,8.687777777777786,0.6205555555555561,1.0,0.3333333333333333,False,False,False,False,False,False,rising,False,False,True,below 20,6.0,15.0,0.4,False,False,False,False,0.3888888888888889,0.2,2.8959259259259285,61.51142355008787,False,False,False
34,2004-01-06,19,CLE,True,NYK,11,True,41,6.0,17.0,0.353,0.0,2.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,10.0,1.0,1.0,4.0,1.0,14.0,10.0,10.0,0.3899721448467967,0.1176470588235294,0.3129890453834116,0.12519561815336466,2.5,1.0,0.0,21.88,2,0.7142857142857143,5.0,0.006920415224913495,3.5,0.6398537477148081,0.7857142857142857,10.82885365853659,0.7734895470383278,2.0,0.5,True,False,False,False,True,True,rising,False,False,True,below 20,6.0,15.0,0.4,False,False,False,False,0.34146341463414637,0.2,2.7072134146341473,63.98537477148081,False,False,False
35,2004-01-07,19,CLE,False,TOR,-6,True,38,10.0,23.0,0.435,0.0,3.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,5.0,0.0,0.0,2.0,3.0,21.0,9.4,-2.0,0.4384133611691023,0.043478260869565216,0.16155088852988692,0.06462035541195478,2.5,1.0,0.0,25.88,2,0.4476190476190477,9.4,0.001890359168241966,10.5,0.8114374034003091,-0.2857142857142857,11.04913157894737,0.5261491228070175,0.0,0.0,False,False,False,False,True,False,rising,False,False,True,below 35,10.0,20.0,0.5,False,False,False,True,0.5526315789473685,0.25,5.524565789473685,81.14374034003092,False,True,False
36,2004-01-09,19,CLE,False,BOS,-25,True,42,7.0,19.0,0.368,0.0,3.0,0.0,5.0,7.0,0.7140000000000001,0.0,3.0,3.0,6.0,3.0,0.0,5.0,1.0,19.0,10.4,-30.0,0.425531914893617,0.2631578947368421,0.1800450112528132,0.15003750937734436,1.2,1.0,0.0,27.08,2,0.5473684210526316,2.08,0.013850415512465374,3.8,0.7016248153618907,-1.3157894736842106,10.770190476190477,0.5668521303258146,3.0,0.6,False,False,False,False,True,False,rising,False,False,True,below 20,7.0,16.0,0.4375,False,False,False,False,0.4523809523809524,0.21875,2.1540380952380955,70.16248153618908,False,True,False
37,2004-01-12,19,CLE,False,LAL,-10,True,36,6.0,20.0,0.3,0.0,3.0,0.0,4.0,5.0,0.8,1.0,4.0,5.0,7.0,1.0,1.0,6.0,3.0,16.0,5.3,3.0,0.3575418994413408,0.2,0.1978798586572438,0.1696113074204947,1.1666666666666667,0.8,0.2,27.2,2,0.33125,1.325,0.01,2.6666666666666665,0.5882352941176471,-0.625,5.361916666666677,0.3351197916666673,2.0,0.3333333333333333,False,False,False,False,False,True,rising,False,False,True,below 20,6.0,17.0,0.35294117647058826,False,False,False,False,0.4444444444444444,0.17647058823529413,0.8936527777777795,58.82352941176471,False,True,False
38,2004-01-13,19,CLE,False,SEA,8,True,43,11.0,26.0,0.423,0.0,1.0,0.0,5.0,6.0,0.833,4.0,5.0,9.0,9.0,2.0,0.0,4.0,2.0,27.0,20.6,11.0,0.4679376083188908,0.19230769230769232,0.21505376344086025,0.09557945041816007,2.25,0.5555555555555556,0.4444444444444444,28.64,2,0.7629629629629631,4.12,0.007396449704142012,6.75,0.9427374301675976,0.2962962962962963,22.5939534883721,0.8368130921619297,2.0,0.5,True,False,False,False,True,True,rising,False,False,True,below 35,11.0,25.0,0.44,False,False,False,False,0.627906976744186,0.22,5.648488372093025,94.27374301675978,False,True,False
39,2004-01-15,19,CLE,False,GSW,-17,True,43,8.0,21.0,0.381,2.0,5.0,0.4,11.0,13.0,0.846,2.0,4.0,6.0,6.0,3.0,0.0,2.0,0.0,29.0,24.5,-14.0,0.5335786568537259,0.5238095238095238,0.1705756929637527,0.0568585643212509,3.0,0.6666666666666666,0.3333333333333333,26.72,2,0.8448275862068966,2.227272727272727,0.024943310657596373,14.5,1.0853293413173652,-0.5862068965517241,26.874511627906973,0.9267072975140332,3.0,1.5,False,False,False,False,True,True,rising,True,False,True,below 35,6.0,16.0,0.375,False,False,True,True,0.6744186046511628,0.3875,13.437255813953486,108.53293413173652,True,True,True
40,2004-01-17,19,CLE,False,UTA,6,True,44,12.0,28.0,0.429,2.0,4.0,0.5,3.0,5.0,0.6,1.0,6.0,7.0,2.0,2.0,1.0,4.0,2.0,29.0,15.2,8.0,0.4773662551440329,0.10714285714285714,0.054982817869415807,0.1099656357388316,0.5,0.8571428571428571,0.14285714285714285,33.2,2,0.5241379310344827,5.066666666666666,0.003826530612244898,7.25,0.8734939759036143,0.20689655172413796,15.945022727272734,0.5498283699059564,3.0,0.75,True,True,False,False,True,False,rising,False,False,False,below 35,10.0,24.0,0.4166666666666667,False,False,False,False,0.6590909090909091,0.45833333333333337,3.9862556818181836,87.34939759036143,False,True,False
