,G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1.0,2015-10-27,30-301,CLE,@,CHI,L (-2),1.0,36:04,12.0,22.0,0.545,1.0,5.0,0.2,0.0,3.0,0.0,0.0,10.0,10.0,5.0,1.0,0.0,1.0,3.0,25.0,18.5,1.0
1,2.0,2015-10-28,30-302,CLE,@,MEM,W (+30),1.0,30:48,4.0,13.0,0.308,0.0,3.0,0.0,4.0,8.0,0.5,1.0,6.0,7.0,5.0,3.0,0.0,3.0,1.0,12.0,8.5,10.0
2,3.0,2015-10-30,30-304,CLE,,MIA,W (+10),1.0,33:56,13.0,19.0,0.684,0.0,2.0,0.0,3.0,5.0,0.6,2.0,3.0,5.0,4.0,1.0,0.0,4.0,3.0,29.0,21.0,7.0
3,4.0,2015-11-02,30-307,CLE,@,PHI,W (+7),1.0,33:20,9.0,19.0,0.474,0.0,3.0,0.0,4.0,4.0,1.0,0.0,9.0,9.0,11.0,4.0,2.0,3.0,3.0,22.0,23.9,21.0
4,5.0,2015-11-04,30-309,CLE,,NYK,W (+10),1.0,35:04,9.0,23.0,0.391,1.0,5.0,0.2,4.0,7.0,0.571,2.0,3.0,5.0,3.0,4.0,1.0,3.0,1.0,23.0,15.0,14.0
5,6.0,2015-11-06,30-311,CLE,,PHI,W (+6),1.0,36:20,12.0,22.0,0.545,3.0,5.0,0.6,4.0,6.0,0.667,0.0,4.0,4.0,13.0,2.0,0.0,2.0,1.0,31.0,29.5,24.0
6,7.0,2015-11-08,30-313,CLE,,IND,W (+4),1.0,35:01,10.0,23.0,0.435,0.0,3.0,0.0,9.0,14.0,0.643,0.0,6.0,6.0,4.0,0.0,0.0,2.0,0.0,29.0,17.5,1.0
7,8.0,2015-11-10,30-315,CLE,,UTA,W (+4),1.0,37:51,11.0,19.0,0.579,1.0,3.0,0.333,8.0,12.0,0.667,3.0,4.0,7.0,8.0,2.0,0.0,5.0,2.0,31.0,25.6,4.0
8,9.0,2015-11-13,30-318,CLE,@,NYK,W (+6),1.0,39:23,12.0,21.0,0.571,0.0,2.0,0.0,7.0,10.0,0.7,0.0,3.0,3.0,6.0,2.0,1.0,3.0,4.0,31.0,23.1,17.0
9,10.0,2015-11-14,30-319,CLE,@,MIL,L (-3),1.0,45:03,13.0,27.0,0.481,5.0,11.0,0.455,6.0,12.0,0.5,4.0,8.0,12.0,5.0,1.0,3.0,7.0,3.0,37.0,24.5,-2.0
10,11.0,2015-11-17,30-322,CLE,@,DET,L (-5),1.0,39:48,11.0,21.0,0.524,4.0,7.0,0.571,4.0,5.0,0.8,0.0,6.0,6.0,3.0,0.0,0.0,4.0,3.0,30.0,18.0,-6.0
11,12.0,2015-11-19,30-324,CLE,,MIL,W (+15),1.0,34:59,9.0,13.0,0.692,1.0,1.0,1.0,8.0,9.0,0.889,3.0,6.0,9.0,6.0,0.0,0.0,4.0,3.0,27.0,24.0,13.0
12,13.0,2015-11-21,30-326,CLE,,ATL,W (+12),1.0,33:20,8.0,15.0,0.533,1.0,2.0,0.5,2.0,2.0,1.0,2.0,9.0,11.0,8.0,0.0,2.0,3.0,1.0,19.0,19.4,17.0
13,14.0,2015-11-23,30-328,CLE,,ORL,W (+14),1.0,34:58,7.0,14.0,0.5,0.0,2.0,0.0,1.0,5.0,0.2,0.0,6.0,6.0,13.0,1.0,0.0,2.0,0.0,15.0,16.3,29.0
14,15.0,2015-11-25,30-330,CLE,@,TOR,L (-4),1.0,39:46,6.0,16.0,0.375,1.0,5.0,0.2,11.0,12.0,0.917,2.0,4.0,6.0,8.0,0.0,0.0,2.0,1.0,24.0,20.6,13.0
