G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1.0,2006-11-01,21-306,CLE,,WAS,W (+3),1.0,40:38,11.0,24.0,0.458,2.0,4.0,0.5,2.0,6.0,0.333,3.0,7.0,10.0,5.0,0.0,2.0,5.0,2.0,26.0,15.3,3.0
2.0,2006-11-03,21-308,CLE,@,SAS,W (+7),1.0,41:53,14.0,26.0,0.538,1.0,2.0,0.5,6.0,11.0,0.545,1.0,9.0,10.0,4.0,1.0,1.0,2.0,3.0,35.0,25.1,6.0
3.0,2006-11-04,21-309,CLE,@,CHA,L (-4),1.0,38:06,3.0,13.0,0.231,1.0,3.0,0.333,9.0,10.0,0.9,4.0,5.0,9.0,7.0,0.0,1.0,2.0,0.0,16.0,15.6,-3.0
4.0,2006-11-07,21-312,CLE,,ATL,L (-9),1.0,47:17,13.0,26.0,0.5,3.0,8.0,0.375,5.0,11.0,0.455,0.0,7.0,7.0,6.0,2.0,1.0,2.0,1.0,34.0,25.2,-3.0
5.0,2006-11-09,21-314,CLE,,CHI,W (+19),1.0,37:50,6.0,13.0,0.462,0.0,1.0,0.0,7.0,8.0,0.875,0.0,4.0,4.0,12.0,3.0,2.0,3.0,0.0,19.0,22.9,26.0
6.0,2006-11-11,21-316,CLE,,BOS,W (+1),1.0,43:32,9.0,17.0,0.529,1.0,4.0,0.25,19.0,23.0,0.826,1.0,7.0,8.0,5.0,3.0,0.0,2.0,4.0,38.0,33.8,6.0
7.0,2006-11-13,21-318,CLE,@,NYK,W (+6),1.0,41:20,10.0,19.0,0.526,3.0,4.0,0.75,6.0,9.0,0.667,0.0,4.0,4.0,6.0,2.0,1.0,3.0,2.0,29.0,22.8,10.0
8.0,2006-11-15,21-320,CLE,,POR,W (+13),1.0,38:54,10.0,15.0,0.667,3.0,6.0,0.5,9.0,11.0,0.818,0.0,7.0,7.0,7.0,2.0,1.0,4.0,2.0,32.0,29.6,16.0
9.0,2006-11-17,21-322,CLE,,MIN,W (+16),1.0,40:30,12.0,24.0,0.5,2.0,5.0,0.4,11.0,14.0,0.786,2.0,7.0,9.0,6.0,1.0,2.0,4.0,1.0,37.0,29.5,12.0
10.0,2006-11-18,21-323,CLE,@,WAS,L (-12),1.0,33:20,8.0,20.0,0.4,0.0,1.0,0.0,4.0,5.0,0.8,2.0,3.0,5.0,4.0,2.0,0.0,3.0,2.0,20.0,12.1,-22.0
11.0,2006-11-21,21-326,CLE,,MEM,W (+3),1.0,41:59,7.0,21.0,0.333,1.0,5.0,0.2,0.0,1.0,0.0,0.0,1.0,1.0,9.0,3.0,1.0,3.0,1.0,15.0,9.6,3.0
12.0,2006-11-22,21-327,CLE,@,TOR,L (-8),1.0,39:55,11.0,24.0,0.458,2.0,7.0,0.286,6.0,9.0,0.667,0.0,10.0,10.0,8.0,4.0,0.0,2.0,1.0,30.0,26.6,-7.0
13.0,2006-11-24,21-329,CLE,@,IND,L (-10),1.0,42:26,6.0,14.0,0.429,2.0,2.0,1.0,16.0,20.0,0.8,1.0,6.0,7.0,5.0,1.0,0.0,3.0,6.0,30.0,22.6,1.0
14.0,2006-11-25,21-330,CLE,,PHI,W (+13),1.0,40:50,10.0,20.0,0.5,1.0,4.0,0.25,4.0,7.0,0.571,0.0,4.0,4.0,11.0,0.0,1.0,7.0,4.0,25.0,14.8,2.0
