G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1.0,2004-11-03,19-309,CLE,,IND,L (-5),1.0,50:56,8.0,19.0,0.421,2.0,5.0,0.4,10.0,12.0,0.833,1.0,4.0,5.0,8.0,1.0,3.0,6.0,2.0,28.0,20.9,-10.0
2.0,2004-11-04,19-310,CLE,@,MIA,L (-6),1.0,42:20,9.0,22.0,0.409,2.0,3.0,0.667,1.0,1.0,1.0,3.0,3.0,6.0,8.0,1.0,0.0,1.0,0.0,21.0,17.8,-8.0
3.0,2004-11-06,19-312,CLE,@,MIL,L (-14),1.0,41:53,8.0,20.0,0.4,0.0,3.0,0.0,15.0,22.0,0.682,2.0,6.0,8.0,6.0,3.0,0.0,4.0,0.0,31.0,23.8,-12.0
4.0,2004-11-09,19-315,CLE,@,ATL,W (+14),1.0,48:00,8.0,17.0,0.471,1.0,4.0,0.25,8.0,12.0,0.667,1.0,9.0,10.0,4.0,4.0,2.0,3.0,2.0,25.0,22.5,14.0
5.0,2004-11-10,19-316,CLE,,PHO,W (+5),1.0,48:21,13.0,24.0,0.542,1.0,2.0,0.5,11.0,12.0,0.917,3.0,7.0,10.0,6.0,3.0,3.0,3.0,1.0,38.0,36.1,14.0
6.0,2004-11-13,19-319,CLE,,WAS,W (+31),1.0,37:24,10.0,20.0,0.5,0.0,3.0,0.0,4.0,5.0,0.8,1.0,8.0,9.0,4.0,3.0,2.0,4.0,0.0,24.0,19.9,25.0
7.0,2004-11-15,19-321,CLE,,GSW,W (+11),1.0,41:58,12.0,22.0,0.545,3.0,5.0,0.6,6.0,8.0,0.75,2.0,10.0,12.0,4.0,2.0,1.0,1.0,1.0,33.0,30.1,15.0
8.0,2004-11-18,19-324,CLE,@,CHA,W (+17),1.0,29:06,8.0,14.0,0.571,2.0,3.0,0.667,1.0,2.0,0.5,1.0,5.0,6.0,9.0,0.0,0.0,1.0,3.0,19.0,18.3,21.0
9.0,2004-11-20,19-326,CLE,,CHA,W (+16),1.0,37:49,11.0,20.0,0.55,0.0,2.0,0.0,3.0,4.0,0.75,5.0,3.0,8.0,2.0,3.0,1.0,7.0,0.0,25.0,17.5,24.0
10.0,2004-11-21,19-327,CLE,@,NYK,L (-10),1.0,40:41,5.0,15.0,0.333,1.0,3.0,0.333,2.0,3.0,0.667,2.0,7.0,9.0,10.0,1.0,1.0,5.0,3.0,13.0,10.1,1.0
11.0,2004-11-24,19-330,CLE,,DET,W (+16),1.0,37:30,15.0,22.0,0.682,2.0,3.0,0.667,11.0,12.0,0.917,3.0,3.0,6.0,5.0,3.0,1.0,3.0,3.0,43.0,39.2,12.0
12.0,2004-11-26,19-332,CLE,@,BOS,W (+2),1.0,42:48,9.0,13.0,0.692,0.0,2.0,0.0,2.0,3.0,0.667,0.0,6.0,6.0,8.0,3.0,1.0,2.0,2.0,20.0,22.4,6.0
13.0,2004-11-27,19-333,CLE,,CHI,W (+22),1.0,31:55,11.0,17.0,0.647,1.0,2.0,0.5,3.0,4.0,0.75,1.0,6.0,7.0,7.0,1.0,0.0,2.0,0.0,26.0,24.5,25.0
14.0,2004-11-29,19-335,CLE,@,LAC,L (-12),1.0,42:19,9.0,19.0,0.474,0.0,2.0,0.0,4.0,5.0,0.8,1.0,6.0,7.0,5.0,6.0,1.0,3.0,2.0,22.0,20.8,-16.0
15.0,2004-12-01,19-337,CLE,@,PHO,L (-19),1.0,40:47,6.0,19.0,0.316,0.0,2.0,0.0,3.0,4.0,0.75,1.0,2.0,3.0,6.0,2.0,1.0,6.0,2.0,15.0,5.1,-17.0
16.0,2004-12-02,19-338,CLE,@,DEN,W (+19),1.0,41:10,8.0,17.0,0.471,0.0,0.0,,1.0,2.0,0.5,1.0,7.0,8.0,9.0,2.0,1.0,5.0,3.0,17.0,13.5,23.0
17.0,2004-12-04,19-340,CLE,,TOR,W (+8),1.0,42:50,10.0,17.0,0.588,1.0,3.0,0.333,6.0,7.0,0.857,0.0,6.0,6.0,10.0,2.0,1.0,3.0,2.0,27.0,26.4,15.0
18.0,2004-12-07,19-343,CLE,,NJN,W (+6),1.0,46:05,11.0,22.0,0.5,0.0,1.0,0.0,5.0,6.0,0.833,0.0,2.0,2.0,8.0,3.0,0.0,3.0,4.0,27.0,20.2,6.0
