,G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1.0,2014-10-30,29-304,CLE,,NYK,L (-5),1.0,43:14,5.0,15.0,0.333,1.0,5.0,0.2,6.0,7.0,0.857,0.0,5.0,5.0,4.0,0.0,0.0,8.0,3.0,17.0,3.2,-13.0
1,2.0,2014-10-31,29-305,CLE,@,CHI,W (+6),1.0,41:40,14.0,30.0,0.467,1.0,3.0,0.333,7.0,9.0,0.778,1.0,7.0,8.0,5.0,4.0,1.0,3.0,1.0,36.0,27.4,-3.0
2,3.0,2014-11-04,29-309,CLE,@,POR,L (-19),1.0,34:56,4.0,12.0,0.333,2.0,4.0,0.5,1.0,1.0,1.0,1.0,6.0,7.0,7.0,1.0,0.0,3.0,2.0,11.0,8.8,-15.0
3,4.0,2014-11-05,29-310,CLE,@,UTA,L (-2),1.0,42:02,8.0,18.0,0.444,3.0,5.0,0.6,12.0,12.0,1.0,0.0,3.0,3.0,4.0,3.0,0.0,4.0,2.0,31.0,23.5,3.0
4,5.0,2014-11-07,29-312,CLE,@,DEN,W (+9),1.0,39:38,8.0,18.0,0.444,1.0,5.0,0.2,5.0,6.0,0.833,0.0,7.0,7.0,11.0,1.0,1.0,3.0,1.0,22.0,20.3,14.0
5,6.0,2014-11-10,29-315,CLE,,NOP,W (+7),1.0,40:26,9.0,17.0,0.529,1.0,3.0,0.333,13.0,17.0,0.765,2.0,9.0,11.0,9.0,1.0,1.0,4.0,1.0,32.0,29.8,15.0
6,7.0,2014-11-14,29-319,CLE,@,BOS,W (+1),1.0,40:51,16.0,27.0,0.593,3.0,8.0,0.375,6.0,9.0,0.667,0.0,4.0,4.0,7.0,0.0,1.0,3.0,4.0,41.0,29.5,10.0
7,8.0,2014-11-15,29-320,CLE,,ATL,W (+33),1.0,28:54,13.0,20.0,0.65,4.0,5.0,0.8,2.0,4.0,0.5,2.0,4.0,6.0,7.0,0.0,1.0,3.0,1.0,32.0,27.2,14.0
8,9.0,2014-11-17,29-322,CLE,,DEN,L (-9),1.0,40:34,8.0,18.0,0.444,1.0,4.0,0.25,5.0,7.0,0.714,0.0,9.0,9.0,5.0,0.0,2.0,4.0,2.0,22.0,14.6,-13.0
9,10.0,2014-11-19,29-324,CLE,,SAS,L (-2),1.0,34:06,6.0,17.0,0.353,2.0,3.0,0.667,1.0,1.0,1.0,3.0,3.0,6.0,9.0,1.0,1.0,5.0,3.0,15.0,10.3,-3.0
10,11.0,2014-11-21,29-326,CLE,@,WAS,L (-13),1.0,39:02,8.0,21.0,0.381,2.0,7.0,0.286,4.0,7.0,0.571,3.0,1.0,4.0,4.0,1.0,1.0,3.0,0.0,22.0,13.2,-13.0
