G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1.0,2017-10-17,32-291,CLE,,BOS,W (+3),1.0,41:12,12.0,19.0,0.632,1.0,5.0,0.2,4.0,4.0,1.0,1.0,15.0,16.0,9.0,0.0,2.0,4.0,3.0,29.0,28.2,0.0
2.0,2017-10-20,32-294,CLE,@,MIL,W (+19),1.0,37:25,10.0,16.0,0.625,2.0,4.0,0.5,2.0,2.0,1.0,1.0,4.0,5.0,8.0,1.0,1.0,5.0,2.0,24.0,20.2,13.0
3.0,2017-10-21,32-295,CLE,,ORL,L (-21),1.0,31:12,8.0,15.0,0.533,1.0,3.0,0.333,5.0,6.0,0.833,0.0,4.0,4.0,2.0,1.0,1.0,1.0,0.0,22.0,17.6,-31.0
4.0,2017-10-24,32-298,CLE,,CHI,W (+7),1.0,37:15,13.0,20.0,0.65,4.0,6.0,0.667,4.0,5.0,0.8,0.0,2.0,2.0,13.0,3.0,0.0,2.0,1.0,34.0,35.1,7.0
5.0,2017-10-25,32-299,CLE,@,BRK,L (-5),1.0,41:22,12.0,20.0,0.6,1.0,2.0,0.5,4.0,8.0,0.5,1.0,9.0,10.0,13.0,0.0,4.0,8.0,1.0,29.0,25.1,-2.0
6.0,2017-10-28,32-302,CLE,@,NOP,L (-22),1.0,30:46,6.0,11.0,0.545,1.0,3.0,0.333,5.0,6.0,0.833,0.0,3.0,3.0,8.0,0.0,0.0,4.0,3.0,18.0,13.6,-10.0
7.0,2017-10-29,32-303,CLE,,NYK,L (-19),1.0,39:28,7.0,15.0,0.467,1.0,4.0,0.25,1.0,1.0,1.0,1.0,9.0,10.0,7.0,2.0,0.0,4.0,2.0,16.0,13.8,-17.0
8.0,2017-11-01,32-306,CLE,,IND,L (-17),1.0,37:28,14.0,22.0,0.636,1.0,5.0,0.2,4.0,5.0,0.8,1.0,5.0,6.0,11.0,2.0,1.0,8.0,1.0,33.0,27.0,-12.0
9.0,2017-11-03,32-308,CLE,@,WAS,W (+8),1.0,42:41,23.0,34.0,0.676,2.0,4.0,0.5,9.0,9.0,1.0,5.0,6.0,11.0,7.0,3.0,2.0,3.0,2.0,57.0,53.2,6.0
10.0,2017-11-05,32-310,CLE,,ATL,L (-2),1.0,40:35,10.0,17.0,0.588,0.0,3.0,0.0,6.0,6.0,1.0,2.0,3.0,5.0,13.0,1.0,2.0,6.0,4.0,26.0,24.3,-4.0
11.0,2017-11-07,32-312,CLE,,MIL,W (+5),1.0,36:42,10.0,20.0,0.5,2.0,4.0,0.5,8.0,10.0,0.8,1.0,7.0,8.0,9.0,3.0,0.0,1.0,1.0,30.0,29.9,6.0
12.0,2017-11-09,32-314,CLE,@,HOU,L (-4),1.0,40:01,15.0,24.0,0.625,1.0,4.0,0.25,2.0,3.0,0.667,0.0,4.0,4.0,7.0,1.0,1.0,8.0,4.0,33.0,20.0,5.0
13.0,2017-11-11,32-316,CLE,@,DAL,W (+7),1.0,41:47,6.0,14.0,0.429,1.0,3.0,0.333,6.0,8.0,0.75,1.0,10.0,11.0,4.0,0.0,1.0,6.0,3.0,19.0,10.8,5.0
14.0,2017-11-13,32-318,CLE,@,NYK,W (+3),1.0,36:16,7.0,14.0,0.5,2.0,4.0,0.5,7.0,10.0,0.7,3.0,6.0,9.0,12.0,0.0,3.0,5.0,1.0,23.0,23.8,2.0
15.0,2017-11-15,32-320,CLE,@,CHO,W (+8),1.0,36:38,12.0,24.0,0.5,4.0,7.0,0.571,3.0,3.0,1.0,2.0,4.0,6.0,8.0,2.0,1.0,3.0,4.0,31.0,25.3,1.0
