,G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
25,26.0,2013-12-20,28-355,MIA,,SAC,W (+19),1.0,30:40,8.0,11.0,0.727,1.0,2.0,0.5,1.0,2.0,0.5,2.0,4.0,6.0,8.0,1.0,1.0,1.0,1.0,18.0,21.6,14.0
26,27.0,2013-12-23,28-358,MIA,,ATL,W (+2),1.0,45:38,16.0,28.0,0.571,4.0,9.0,0.444,2.0,6.0,0.333,4.0,4.0,8.0,6.0,2.0,0.0,0.0,2.0,38.0,32.6,-4.0
27,28.0,2013-12-25,28-360,MIA,@,LAL,W (+6),1.0,35:48,7.0,14.0,0.5,0.0,4.0,0.0,5.0,9.0,0.556,0.0,8.0,8.0,4.0,0.0,0.0,2.0,2.0,19.0,12.8,0.0
28,29.0,2013-12-27,28-362,MIA,@,SAC,L (-5),1.0,43:43,12.0,23.0,0.522,4.0,9.0,0.444,5.0,6.0,0.833,0.0,8.0,8.0,8.0,0.0,0.0,2.0,3.0,33.0,26.1,-10.0
29,30.0,2013-12-30,29-000,MIA,@,DEN,W (+3),1.0,39:44,8.0,15.0,0.533,5.0,9.0,0.556,5.0,8.0,0.625,1.0,5.0,6.0,10.0,0.0,1.0,4.0,0.0,26.0,23.4,4.0
30,31.0,2014-01-02,29-003,MIA,,GSW,L (-9),1.0,39:34,10.0,16.0,0.625,1.0,4.0,0.25,5.0,8.0,0.625,0.0,5.0,5.0,5.0,0.0,1.0,8.0,0.0,26.0,15.3,-11.0
31,32.0,2014-01-04,29-005,MIA,@,ORL,W (+16),1.0,35:55,5.0,13.0,0.385,0.0,1.0,0.0,5.0,8.0,0.625,1.0,7.0,8.0,8.0,1.0,0.0,3.0,1.0,15.0,12.7,17.0
32,33.0,2014-01-05,29-006,MIA,,TOR,W (+5),1.0,37:47,12.0,18.0,0.667,0.0,0.0,,6.0,7.0,0.857,1.0,3.0,4.0,5.0,1.0,0.0,1.0,1.0,30.0,26.5,1.0
33,34.0,2014-01-07,29-008,MIA,,NOP,W (+19),1.0,35:15,13.0,22.0,0.591,3.0,6.0,0.5,3.0,3.0,1.0,1.0,2.0,3.0,5.0,2.0,0.0,3.0,1.0,32.0,25.2,19.0
34,35.0,2014-01-09,29-010,MIA,@,NYK,L (-10),1.0,41:25,12.0,17.0,0.706,1.0,4.0,0.25,7.0,11.0,0.636,0.0,5.0,5.0,6.0,1.0,1.0,6.0,2.0,32.0,23.9,1.0
35,36.0,2014-01-10,29-011,MIA,@,BRK,L (-9),1.0,49:22,12.0,21.0,0.571,2.0,5.0,0.4,10.0,12.0,0.833,3.0,4.0,7.0,5.0,0.0,0.0,4.0,6.0,36.0,25.7,-1.0
36,37.0,2014-01-15,29-016,MIA,@,WAS,L (-17),1.0,41:04,8.0,18.0,0.444,0.0,4.0,0.0,9.0,10.0,0.9,2.0,6.0,8.0,7.0,2.0,0.0,4.0,1.0,25.0,20.9,-15.0
37,38.0,2014-01-17,29-018,MIA,@,PHI,W (+15),1.0,36:31,7.0,13.0,0.538,0.0,1.0,0.0,7.0,8.0,0.875,1.0,7.0,8.0,10.0,2.0,1.0,3.0,3.0,21.0,22.6,17.0
