,G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1.0,2008-10-28,23-303,CLE,@,BOS,L (-5),1.0,36:00,9.0,21.0,0.429,0.0,4.0,0.0,4.0,8.0,0.5,1.0,6.0,7.0,6.0,2.0,1.0,3.0,4.0,22.0,14.1,-3.0
1,2.0,2008-10-30,23-305,CLE,,CHA,W (+17),1.0,30:16,7.0,15.0,0.467,0.0,2.0,0.0,8.0,12.0,0.667,2.0,7.0,9.0,9.0,0.0,1.0,5.0,3.0,22.0,17.0,10.0
2,3.0,2008-11-01,23-307,CLE,@,NOH,L (-12),1.0,37:43,6.0,15.0,0.4,0.0,3.0,0.0,3.0,4.0,0.75,2.0,5.0,7.0,13.0,3.0,0.0,5.0,3.0,15.0,15.3,-8.0
3,4.0,2008-11-03,23-309,CLE,@,DAL,W (+19),1.0,34:08,8.0,20.0,0.4,0.0,2.0,0.0,13.0,15.0,0.867,2.0,6.0,8.0,3.0,2.0,1.0,1.0,1.0,29.0,24.0,13.0
4,5.0,2008-11-05,23-311,CLE,,CHI,W (+14),1.0,35:50,13.0,23.0,0.565,0.0,2.0,0.0,15.0,16.0,0.938,2.0,7.0,9.0,6.0,4.0,0.0,5.0,1.0,41.0,36.0,22.0
5,6.0,2008-11-07,23-313,CLE,,IND,W (+4),1.0,39:20,11.0,24.0,0.458,1.0,6.0,0.167,4.0,7.0,0.571,2.0,7.0,9.0,8.0,1.0,4.0,4.0,2.0,27.0,21.5,-3.0
6,7.0,2008-11-08,23-314,CLE,@,CHI,W (+9),1.0,39:12,13.0,29.0,0.448,4.0,7.0,0.571,11.0,13.0,0.846,4.0,9.0,13.0,4.0,0.0,0.0,2.0,1.0,41.0,31.0,12.0
7,8.0,2008-11-11,23-317,CLE,,MIL,W (+6),1.0,42:46,16.0,24.0,0.667,1.0,4.0,0.25,8.0,10.0,0.8,0.0,5.0,5.0,6.0,3.0,0.0,2.0,2.0,41.0,35.7,11.0
8,9.0,2008-11-13,23-319,CLE,,DEN,W (+11),1.0,38:02,10.0,20.0,0.5,0.0,0.0,,2.0,4.0,0.5,1.0,7.0,8.0,11.0,3.0,0.0,5.0,4.0,22.0,18.1,14.0
9,10.0,2008-11-15,23-321,CLE,,UTA,W (+12),1.0,42:03,13.0,21.0,0.619,3.0,7.0,0.429,9.0,11.0,0.818,3.0,2.0,5.0,7.0,2.0,2.0,2.0,2.0,38.0,35.9,33.0
10,11.0,2008-11-18,23-324,CLE,@,NJN,W (+24),1.0,35:58,9.0,20.0,0.45,1.0,4.0,0.25,12.0,17.0,0.706,0.0,8.0,8.0,4.0,0.0,1.0,3.0,3.0,31.0,20.3,17.0
11,12.0,2008-11-19,23-325,CLE,@,DET,L (-7),1.0,39:30,8.0,21.0,0.381,0.0,4.0,0.0,9.0,10.0,0.9,1.0,5.0,6.0,6.0,4.0,0.0,3.0,1.0,25.0,20.1,-5.0
12,13.0,2008-11-22,23-328,CLE,,ATL,W (+14),1.0,36:35,8.0,19.0,0.421,1.0,4.0,0.25,7.0,7.0,1.0,1.0,6.0,7.0,8.0,2.0,0.0,2.0,3.0,24.0,20.8,16.0
13,14.0,2008-11-25,23-331,CLE,@,NYK,W (+18),1.0,30:20,7.0,14.0,0.5,3.0,7.0,0.429,9.0,11.0,0.818,0.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,26.0,20.8,17.0
14,15.0,2008-11-26,23-332,CLE,,OKC,W (+35),1.0,17:08,7.0,12.0,0.583,0.0,1.0,0.0,0.0,0.0,,0.0,3.0,3.0,3.0,1.0,3.0,0.0,0.0,14.0,14.5,24.0
15,16.0,2008-11-28,23-334,CLE,,GSW,W (+15),1.0,30:39,9.0,13.0,0.692,3.0,4.0,0.75,2.0,4.0,0.5,1.0,6.0,7.0,8.0,3.0,1.0,2.0,2.0,23.0,25.7,24.0
16,17.0,2008-11-29,23-335,CLE,@,MIL,W (+12),1.0,41:22,12.0,27.0,0.444,1.0,5.0,0.2,7.0,10.0,0.7,1.0,6.0,7.0,5.0,2.0,1.0,3.0,3.0,32.0,21.2,7.0
17,18.0,2008-12-03,23-339,CLE,,NYK,W (+36),1.0,28:09,5.0,10.0,0.5,1.0,4.0,0.25,10.0,10.0,1.0,0.0,5.0,5.0,6.0,5.0,1.0,0.0,0.0,21.0,27.4,30.0
18,19.0,2008-12-05,23-341,CLE,,IND,W (+24),1.0,37:37,4.0,12.0,0.333,0.0,4.0,0.0,3.0,4.0,0.75,2.0,6.0,8.0,11.0,1.0,3.0,2.0,2.0,11.0,15.0,32.0
19,20.0,2008-12-06,23-342,CLE,@,CHA,W (+20),1.0,27:40,8.0,17.0,0.471,2.0,4.0,0.5,7.0,8.0,0.875,2.0,3.0,5.0,4.0,2.0,2.0,3.0,3.0,25.0,20.2,27.0
20,21.0,2008-12-09,23-345,CLE,,TOR,W (+20),1.0,30:24,11.0,18.0,0.611,2.0,5.0,0.4,7.0,8.0,0.875,0.0,5.0,5.0,4.0,3.0,0.0,2.0,1.0,31.0,27.3,19.0
21,22.0,2008-12-10,23-346,CLE,@,PHI,W (+8),1.0,39:04,10.0,22.0,0.455,2.0,6.0,0.333,7.0,8.0,0.875,2.0,2.0,4.0,5.0,0.0,2.0,1.0,4.0,29.0,21.5,-1.0
22,23.0,2008-12-12,23-348,CLE,,PHI,W (+16),1.0,36:50,9.0,21.0,0.429,1.0,4.0,0.25,9.0,12.0,0.75,3.0,4.0,7.0,7.0,1.0,3.0,0.0,2.0,28.0,26.2,13.0
23,24.0,2008-12-13,23-349,CLE,@,ATL,L (-5),1.0,45:40,10.0,19.0,0.526,2.0,7.0,0.286,11.0,12.0,0.917,2.0,4.0,6.0,9.0,4.0,1.0,1.0,2.0,33.0,35.1,1.0
24,25.0,2008-12-17,23-353,CLE,@,MIN,W (+23),1.0,39:38,14.0,20.0,0.7,2.0,6.0,0.333,2.0,4.0,0.5,0.0,6.0,6.0,3.0,2.0,2.0,0.0,1.0,32.0,29.7,22.0
25,26.0,2008-12-19,23-355,CLE,@,DEN,W (+17),1.0,38:45,13.0,20.0,0.65,0.0,2.0,0.0,7.0,8.0,0.875,3.0,7.0,10.0,8.0,0.0,0.0,6.0,3.0,33.0,26.4,14.0
26,27.0,2008-12-21,23-357,CLE,@,OKC,W (+11),1.0,42:46,14.0,24.0,0.583,2.0,4.0,0.5,1.0,2.0,0.5,2.0,2.0,4.0,7.0,3.0,1.0,3.0,1.0,31.0,26.6,16.0
27,28.0,2008-12-23,23-359,CLE,,HOU,W (+9),1.0,38:20,11.0,23.0,0.478,0.0,3.0,0.0,5.0,7.0,0.714,1.0,8.0,9.0,5.0,3.0,1.0,7.0,2.0,27.0,17.0,14.0
28,29.0,2008-12-25,23-361,CLE,,WAS,W (+4),1.0,38:13,6.0,13.0,0.462,0.0,2.0,0.0,6.0,10.0,0.6,0.0,5.0,5.0,6.0,3.0,1.0,3.0,1.0,18.0,15.7,-4.0
29,30.0,2008-12-28,23-364,CLE,,MIA,W (+7),1.0,42:31,12.0,19.0,0.632,2.0,4.0,0.5,7.0,12.0,0.583,0.0,6.0,6.0,9.0,0.0,1.0,2.0,1.0,33.0,28.9,8.0
30,31.0,2008-12-30,24-000,CLE,@,MIA,L (-9),1.0,43:29,12.0,24.0,0.5,3.0,8.0,0.375,11.0,14.0,0.786,0.0,2.0,2.0,7.0,0.0,2.0,5.0,2.0,38.0,25.9,-6.0
31,32.0,2009-01-02,24-003,CLE,,CHI,W (+25),1.0,37:16,3.0,8.0,0.375,2.0,3.0,0.667,8.0,8.0,1.0,1.0,9.0,10.0,11.0,2.0,3.0,5.0,1.0,16.0,21.4,27.0
32,33.0,2009-01-04,24-005,CLE,@,WAS,L (-3),1.0,40:46,11.0,22.0,0.5,3.0,9.0,0.333,5.0,8.0,0.625,0.0,6.0,6.0,10.0,1.0,2.0,7.0,4.0,30.0,20.4,0.0
33,34.0,2009-01-07,24-008,CLE,,CHA,W (+30),1.0,30:59,9.0,16.0,0.563,0.0,1.0,0.0,3.0,3.0,1.0,0.0,4.0,4.0,4.0,2.0,2.0,4.0,1.0,21.0,16.4,23.0
34,35.0,2009-01-09,24-010,CLE,,BOS,W (+15),1.0,35:49,13.0,25.0,0.52,3.0,7.0,0.429,9.0,9.0,1.0,1.0,6.0,7.0,6.0,4.0,3.0,3.0,2.0,38.0,34.7,20.0
35,36.0,2009-01-13,24-014,CLE,@,MEM,W (+15),1.0,40:12,9.0,15.0,0.6,1.0,5.0,0.2,11.0,14.0,0.786,0.0,11.0,11.0,10.0,3.0,1.0,2.0,2.0,30.0,33.1,21.0
36,37.0,2009-01-15,24-016,CLE,@,CHI,L (-9),1.0,44:19,8.0,28.0,0.286,1.0,6.0,0.167,11.0,16.0,0.688,3.0,11.0,14.0,7.0,1.0,1.0,8.0,4.0,28.0,12.0,2.0
37,38.0,2009-01-16,24-017,CLE,,NOH,W (+14),1.0,42:59,12.0,24.0,0.5,0.0,2.0,0.0,5.0,6.0,0.833,3.0,11.0,14.0,7.0,3.0,1.0,4.0,3.0,29.0,25.4,19.0
38,39.0,2009-01-19,24-020,CLE,@,LAL,L (-17),1.0,42:10,9.0,25.0,0.36,1.0,5.0,0.2,4.0,8.0,0.5,2.0,7.0,9.0,4.0,4.0,1.0,6.0,1.0,23.0,12.1,-11.0
39,40.0,2009-01-21,24-022,CLE,@,POR,W (+6),1.0,42:02,14.0,30.0,0.467,3.0,6.0,0.5,3.0,4.0,0.75,0.0,7.0,7.0,14.0,1.0,0.0,2.0,1.0,34.0,28.7,14.0
40,41.0,2009-01-23,24-024,CLE,@,GSW,W (+1),1.0,40:39,10.0,24.0,0.417,2.0,5.0,0.4,10.0,16.0,0.625,2.0,7.0,9.0,8.0,3.0,2.0,2.0,2.0,32.0,27.5,12.0
41,42.0,2009-01-24,24-025,CLE,@,UTA,W (+5),1.0,41:08,14.0,27.0,0.519,1.0,6.0,0.167,4.0,6.0,0.667,4.0,10.0,14.0,9.0,1.0,0.0,2.0,1.0,33.0,29.6,16.0
42,43.0,2009-01-27,24-028,CLE,,SAC,W (+7),1.0,37:31,5.0,10.0,0.5,0.0,2.0,0.0,13.0,15.0,0.867,5.0,10.0,15.0,11.0,0.0,3.0,2.0,1.0,23.0,31.1,6.0
43,44.0,2009-01-29,24-030,CLE,@,ORL,L (-11),1.0,37:41,10.0,27.0,0.37,0.0,2.0,0.0,3.0,6.0,0.5,1.0,7.0,8.0,8.0,1.0,1.0,2.0,1.0,23.0,14.6,-9.0
44,45.0,2009-01-30,24-031,CLE,,LAC,W (+17),1.0,37:08,9.0,17.0,0.529,2.0,4.0,0.5,5.0,6.0,0.833,0.0,7.0,7.0,6.0,3.0,1.0,3.0,2.0,25.0,22.5,32.0
45,46.0,2009-02-01,24-033,CLE,@,DET,W (+10),1.0,38:50,12.0,25.0,0.48,3.0,8.0,0.375,6.0,11.0,0.545,4.0,0.0,4.0,8.0,1.0,1.0,5.0,3.0,33.0,22.2,-8.0
46,47.0,2009-02-03,24-035,CLE,,TOR,W (+18),1.0,37:31,9.0,20.0,0.45,2.0,5.0,0.4,13.0,13.0,1.0,1.0,6.0,7.0,4.0,1.0,2.0,3.0,3.0,33.0,26.1,23.0
47,48.0,2009-02-04,24-036,CLE,@,NYK,W (+5),1.0,44:03,17.0,33.0,0.515,2.0,7.0,0.286,16.0,19.0,0.842,0.0,9.0,9.0,11.0,0.0,2.0,3.0,1.0,52.0,42.9,7.0
48,49.0,2009-02-08,24-040,CLE,,LAL,L (-10),1.0,40:08,5.0,20.0,0.25,2.0,8.0,0.25,4.0,8.0,0.5,3.0,5.0,8.0,12.0,0.0,0.0,1.0,1.0,16.0,13.0,-12.0
49,50.0,2009-02-10,24-042,CLE,@,IND,L (-1),1.0,41:10,15.0,21.0,0.714,4.0,7.0,0.571,13.0,14.0,0.929,0.0,7.0,7.0,4.0,1.0,1.0,7.0,1.0,47.0,37.1,7.0
50,51.0,2009-02-11,24-043,CLE,,PHO,W (+17),1.0,33:17,9.0,18.0,0.5,1.0,5.0,0.2,7.0,8.0,0.875,2.0,4.0,6.0,6.0,2.0,1.0,3.0,1.0,26.0,22.7,22.0
51,52.0,2009-02-18,24-050,CLE,@,TOR,W (+17),1.0,33:12,9.0,17.0,0.529,0.0,3.0,0.0,2.0,2.0,1.0,1.0,8.0,9.0,9.0,1.0,1.0,5.0,1.0,20.0,17.4,20.0
