G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
27.0,2019-12-15,34-350,LAL,@,ATL,W (+5),1.0,36:56,12.0,21.0,0.571,4.0,10.0,0.4,4.0,7.0,0.571,1.0,12.0,13.0,7.0,1.0,3.0,4.0,1.0,32.0,28.8,10.0
28.0,2019-12-17,34-352,LAL,@,IND,L (-3),1.0,34:54,8.0,20.0,0.4,0.0,6.0,0.0,4.0,8.0,0.5,1.0,8.0,9.0,9.0,0.0,0.0,5.0,2.0,20.0,11.2,-9.0
29.0,2019-12-19,34-354,LAL,@,MIL,L (-7),1.0,36:44,8.0,19.0,0.421,3.0,7.0,0.429,2.0,2.0,1.0,0.0,12.0,12.0,11.0,0.0,0.0,4.0,5.0,21.0,16.2,-14.0
30.0,2019-12-25,34-360,LAL,,LAC,L (-5),1.0,38:50,9.0,24.0,0.375,2.0,12.0,0.167,3.0,4.0,0.75,3.0,6.0,9.0,10.0,2.0,1.0,2.0,3.0,23.0,19.8,3.0
31.0,2019-12-28,34-363,LAL,@,POR,W (+8),1.0,36:44,7.0,15.0,0.467,1.0,4.0,0.25,6.0,8.0,0.75,1.0,6.0,7.0,16.0,2.0,1.0,1.0,2.0,21.0,27.1,5.0
32.0,2019-12-29,34-364,LAL,,DAL,W (+13),1.0,34:19,3.0,10.0,0.3,2.0,4.0,0.5,5.0,6.0,0.833,0.0,6.0,6.0,13.0,2.0,0.0,2.0,2.0,13.0,16.9,5.0
33.0,2020-01-01,35-002,LAL,,PHO,W (+10),1.0,38:04,11.0,21.0,0.524,1.0,4.0,0.25,8.0,12.0,0.667,2.0,11.0,13.0,12.0,2.0,1.0,5.0,0.0,31.0,29.9,18.0
34.0,2020-01-03,35-004,LAL,,NOP,W (+10),1.0,37:13,7.0,17.0,0.412,1.0,3.0,0.333,2.0,5.0,0.4,0.0,8.0,8.0,15.0,2.0,0.0,2.0,1.0,17.0,19.2,17.0
35.0,2020-01-05,35-006,LAL,,DET,W (+7),1.0,35:01,10.0,21.0,0.476,0.0,3.0,0.0,1.0,2.0,0.5,3.0,11.0,14.0,11.0,0.0,0.0,3.0,2.0,21.0,19.2,23.0
36.0,2020-01-07,35-008,LAL,,NYK,W (+30),1.0,31:26,9.0,19.0,0.474,6.0,12.0,0.5,7.0,7.0,1.0,0.0,5.0,5.0,5.0,2.0,1.0,4.0,2.0,31.0,24.2,26.0
37.0,2020-01-10,35-011,LAL,@,DAL,W (+15),1.0,32:16,14.0,25.0,0.56,3.0,6.0,0.5,4.0,5.0,0.8,2.0,14.0,16.0,7.0,1.0,0.0,3.0,0.0,35.0,31.2,13.0
38.0,2020-01-13,35-014,LAL,,CLE,W (+29),1.0,32:43,12.0,16.0,0.75,1.0,3.0,0.333,6.0,7.0,0.857,0.0,2.0,2.0,8.0,1.0,0.0,3.0,2.0,31.0,27.6,19.0
39.0,2020-01-15,35-016,LAL,,ORL,L (-1),1.0,36:15,7.0,19.0,0.368,2.0,9.0,0.222,3.0,5.0,0.6,0.0,3.0,3.0,19.0,1.0,0.0,5.0,1.0,19.0,17.5,-9.0
40.0,2020-01-18,35-019,LAL,@,HOU,W (+9),1.0,35:24,13.0,25.0,0.52,2.0,7.0,0.286,3.0,5.0,0.6,0.0,5.0,5.0,12.0,2.0,0.0,6.0,3.0,31.0,22.6,2.0
41.0,2020-01-20,35-021,LAL,@,BOS,L (-32),1.0,29:11,5.0,12.0,0.417,0.0,2.0,0.0,5.0,5.0,1.0,3.0,4.0,7.0,13.0,0.0,0.0,4.0,1.0,15.0,16.6,-21.0
42.0,2020-01-22,35-023,LAL,@,NYK,W (+8),1.0,36:03,9.0,16.0,0.563,2.0,5.0,0.4,1.0,3.0,0.333,0.0,6.0,6.0,5.0,5.0,0.0,4.0,0.0,21.0,18.9,13.0
43.0,2020-01-23,35-024,LAL,@,BRK,W (+15),1.0,33:36,11.0,19.0,0.579,3.0,6.0,0.5,2.0,2.0,1.0,2.0,9.0,11.0,10.0,1.0,1.0,5.0,0.0,27.0,25.9,26.0
44.0,2020-01-25,35-026,LAL,@,PHI,L (-17),1.0,35:21,9.0,18.0,0.5,1.0,6.0,0.167,10.0,13.0,0.769,0.0,7.0,7.0,8.0,1.0,0.0,8.0,3.0,29.0,18.3,-22.0
45.0,2020-01-31,35-032,LAL,,POR,L (-8),1.0,37:59,9.0,22.0,0.409,3.0,8.0,0.375,1.0,4.0,0.25,2.0,6.0,8.0,10.0,0.0,1.0,5.0,2.0,22.0,14.1,7.0
46.0,2020-02-01,35-033,LAL,@,SAC,W (+16),1.0,33:34,6.0,15.0,0.4,1.0,4.0,0.25,2.0,3.0,0.667,0.0,10.0,10.0,11.0,2.0,0.0,2.0,3.0,15.0,16.0,33.0
47.0,2020-02-04,35-036,LAL,,SAS,W (+27),1.0,34:11,12.0,20.0,0.6,6.0,9.0,0.667,6.0,9.0,0.667,1.0,6.0,7.0,9.0,1.0,0.0,2.0,1.0,36.0,33.0,20.0
48.0,2020-02-06,35-038,LAL,,HOU,L (-10),1.0,36:38,8.0,19.0,0.421,1.0,8.0,0.125,1.0,1.0,1.0,2.0,7.0,9.0,15.0,2.0,0.0,6.0,0.0,18.0,17.9,-4.0
49.0,2020-02-08,35-040,LAL,@,GSW,W (+5),1.0,33:34,7.0,17.0,0.412,3.0,8.0,0.375,5.0,6.0,0.833,0.0,8.0,8.0,11.0,1.0,0.0,7.0,2.0,22.0,15.8,6.0
50.0,2020-02-10,35-042,LAL,,PHO,W (+25),1.0,30:05,6.0,16.0,0.375,3.0,6.0,0.5,2.0,4.0,0.5,0.0,8.0,8.0,9.0,1.0,0.0,8.0,2.0,17.0,8.3,16.0
51.0,2020-02-12,35-044,LAL,@,DEN,W (+4),1.0,41:30,15.0,29.0,0.517,1.0,7.0,0.143,1.0,4.0,0.25,1.0,11.0,12.0,14.0,0.0,0.0,3.0,3.0,32.0,26.1,4.0
52.0,2020-02-21,35-053,LAL,,MEM,W (+12),1.0,35:35,10.0,17.0,0.588,1.0,4.0,0.25,11.0,12.0,0.917,0.0,3.0,3.0,7.0,0.0,2.0,1.0,0.0,32.0,29.9,6.0
53.0,2020-02-23,35-055,LAL,,BOS,W (+2),1.0,35:29,9.0,19.0,0.474,4.0,10.0,0.4,7.0,12.0,0.583,0.0,8.0,8.0,9.0,0.0,0.0,2.0,4.0,29.0,22.4,-1.0
54.0,2020-02-25,35-057,LAL,,NOP,W (+9),1.0,34:12,17.0,27.0,0.63,5.0,11.0,0.455,1.0,2.0,0.5,2.0,6.0,8.0,6.0,0.0,1.0,7.0,1.0,40.0,28.2,12.0
55.0,2020-02-29,35-061,LAL,@,MEM,L (-17),1.0,34:19,8.0,18.0,0.444,2.0,8.0,0.25,1.0,2.0,0.5,2.0,6.0,8.0,10.0,1.0,1.0,5.0,1.0,19.0,15.7,-12.0
56.0,2020-03-01,35-062,LAL,@,NOP,W (+8),1.0,36:23,14.0,21.0,0.667,3.0,5.0,0.6,3.0,3.0,1.0,0.0,12.0,12.0,13.0,2.0,0.0,6.0,2.0,34.0,32.8,22.0
57.0,2020-03-03,35-064,LAL,,PHI,W (+13),1.0,33:45,9.0,16.0,0.563,2.0,5.0,0.4,2.0,3.0,0.667,1.0,6.0,7.0,14.0,1.0,2.0,3.0,1.0,22.0,25.3,-2.0
58.0,2020-03-06,35-067,LAL,,MIL,W (+10),1.0,36:30,12.0,21.0,0.571,1.0,7.0,0.143,12.0,15.0,0.8,0.0,8.0,8.0,8.0,3.0,0.0,4.0,4.0,37.0,31.3,8.0
59.0,2020-03-08,35-069,LAL,@,LAC,W (+9),1.0,34:31,7.0,17.0,0.412,2.0,6.0,0.333,12.0,14.0,0.857,2.0,6.0,8.0,9.0,0.0,2.0,2.0,3.0,28.0,25.8,7.0
60.0,2020-03-10,35-071,LAL,,BRK,L (-2),1.0,34:52,12.0,22.0,0.545,4.0,9.0,0.444,1.0,5.0,0.2,1.0,11.0,12.0,9.0,1.0,0.0,3.0,1.0,29.0,24.7,8.0
61.0,2020-07-30,35-213,LAL,,LAC,W (+2),1.0,34:18,6.0,19.0,0.316,2.0,7.0,0.286,2.0,2.0,1.0,2.0,9.0,11.0,7.0,1.0,1.0,5.0,3.0,16.0,9.6,-4.0
62.0,2020-08-01,35-215,LAL,@,TOR,L (-15),1.0,34:36,7.0,15.0,0.467,2.0,5.0,0.4,4.0,7.0,0.571,1.0,9.0,10.0,5.0,0.0,1.0,4.0,1.0,20.0,14.3,-20.0
