G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1.0,2018-10-18,33-292,LAL,@,POR,L (-9),1.0,37:20,9.0,16.0,0.563,0.0,4.0,0.0,8.0,9.0,0.889,2.0,10.0,12.0,6.0,1.0,0.0,6.0,3.0,26.0,20.4,-4.0
2.0,2018-10-20,33-294,LAL,,HOU,L (-9),1.0,38:52,9.0,22.0,0.409,1.0,7.0,0.143,5.0,7.0,0.714,0.0,5.0,5.0,5.0,2.0,1.0,1.0,0.0,24.0,18.1,-13.0
3.0,2018-10-22,33-296,LAL,,SAS,L (-1),1.0,42:52,11.0,25.0,0.44,2.0,8.0,0.25,8.0,11.0,0.727,2.0,6.0,8.0,14.0,1.0,1.0,5.0,2.0,32.0,26.6,-5.0
4.0,2018-10-24,33-298,LAL,@,PHO,W (+18),1.0,28:04,7.0,16.0,0.438,1.0,5.0,0.2,4.0,4.0,1.0,0.0,7.0,7.0,10.0,3.0,0.0,0.0,1.0,19.0,22.3,19.0
5.0,2018-10-25,33-299,LAL,,DEN,W (+7),1.0,34:40,10.0,17.0,0.588,1.0,5.0,0.2,7.0,10.0,0.7,0.0,11.0,11.0,11.0,3.0,0.0,2.0,3.0,28.0,29.7,13.0
6.0,2018-10-27,33-301,LAL,@,SAS,L (-4),1.0,34:18,13.0,21.0,0.619,2.0,6.0,0.333,7.0,8.0,0.875,1.0,10.0,11.0,4.0,2.0,0.0,4.0,3.0,35.0,28.4,-1.0
7.0,2018-10-29,33-303,LAL,@,MIN,L (-4),1.0,36:16,11.0,23.0,0.478,3.0,6.0,0.5,4.0,5.0,0.8,3.0,7.0,10.0,8.0,2.0,2.0,5.0,2.0,29.0,24.3,-6.0
8.0,2018-10-31,33-305,LAL,,DAL,W (+1),1.0,38:34,11.0,19.0,0.579,2.0,3.0,0.667,5.0,7.0,0.714,0.0,5.0,5.0,6.0,3.0,0.0,3.0,3.0,29.0,23.8,5.0
9.0,2018-11-03,33-308,LAL,@,POR,W (+4),1.0,31:21,9.0,20.0,0.45,1.0,5.0,0.2,9.0,11.0,0.818,0.0,5.0,5.0,7.0,0.0,2.0,3.0,1.0,28.0,21.2,-22.0
10.0,2018-11-04,33-309,LAL,,TOR,L (-14),1.0,28:17,6.0,12.0,0.5,2.0,3.0,0.667,4.0,7.0,0.571,0.0,2.0,2.0,6.0,0.0,1.0,3.0,3.0,18.0,12.1,-16.0
11.0,2018-11-07,33-312,LAL,,MIN,W (+4),1.0,38:32,10.0,21.0,0.476,3.0,9.0,0.333,1.0,2.0,0.5,1.0,10.0,11.0,9.0,0.0,2.0,3.0,1.0,24.0,20.9,3.0
12.0,2018-11-10,33-315,LAL,@,SAC,W (+15),1.0,31:17,10.0,18.0,0.556,3.0,6.0,0.5,2.0,3.0,0.667,1.0,6.0,7.0,2.0,1.0,0.0,3.0,2.0,25.0,17.1,2.0
13.0,2018-11-11,33-316,LAL,,ATL,W (+1),1.0,34:18,10.0,20.0,0.5,3.0,9.0,0.333,3.0,7.0,0.429,3.0,4.0,7.0,4.0,2.0,0.0,4.0,1.0,26.0,18.1,22.0
14.0,2018-11-14,33-319,LAL,,POR,W (+9),1.0,36:00,13.0,19.0,0.684,5.0,6.0,0.833,13.0,15.0,0.867,2.0,8.0,10.0,9.0,1.0,3.0,4.0,0.0,44.0,44.3,4.0
15.0,2018-11-17,33-322,LAL,@,ORL,L (-13),1.0,25:53,8.0,19.0,0.421,3.0,6.0,0.5,3.0,4.0,0.75,0.0,4.0,4.0,7.0,0.0,1.0,3.0,0.0,22.0,15.3,-11.0
16.0,2018-11-18,33-323,LAL,@,MIA,W (+16),1.0,38:29,19.0,31.0,0.613,6.0,8.0,0.75,7.0,10.0,0.7,1.0,7.0,8.0,3.0,2.0,1.0,2.0,3.0,51.0,40.1,20.0
17.0,2018-11-21,33-326,LAL,@,CLE,W (+4),1.0,35:30,11.0,20.0,0.55,2.0,6.0,0.333,8.0,12.0,0.667,2.0,12.0,14.0,7.0,0.0,1.0,4.0,3.0,32.0,26.2,9.0
18.0,2018-11-23,33-328,LAL,,UTA,W (+7),1.0,35:04,8.0,17.0,0.471,2.0,5.0,0.4,4.0,6.0,0.667,1.0,9.0,10.0,7.0,2.0,1.0,5.0,1.0,22.0,18.1,13.0
19.0,2018-11-25,33-330,LAL,,ORL,L (-4),1.0,40:27,8.0,14.0,0.571,2.0,7.0,0.286,6.0,11.0,0.545,0.0,4.0,4.0,7.0,0.0,1.0,6.0,4.0,24.0,14.6,-14.0
20.0,2018-11-27,33-332,LAL,@,DEN,L (-32),1.0,30:04,5.0,15.0,0.333,0.0,4.0,0.0,4.0,6.0,0.667,0.0,7.0,7.0,2.0,2.0,2.0,4.0,0.0,14.0,7.6,-23.0
21.0,2018-11-29,33-334,LAL,,IND,W (+8),1.0,38:09,15.0,27.0,0.556,2.0,7.0,0.286,6.0,10.0,0.6,1.0,8.0,9.0,7.0,2.0,0.0,4.0,2.0,38.0,28.7,19.0
22.0,2018-11-30,33-335,LAL,,DAL,W (+11),1.0,31:19,12.0,21.0,0.571,2.0,4.0,0.5,2.0,4.0,0.5,2.0,3.0,5.0,4.0,0.0,1.0,4.0,3.0,28.0,17.9,10.0
23.0,2018-12-02,33-337,LAL,,PHO,W (+24),1.0,30:59,9.0,17.0,0.529,1.0,5.0,0.2,3.0,4.0,0.75,0.0,6.0,6.0,8.0,0.0,1.0,5.0,0.0,22.0,16.4,12.0
24.0,2018-12-05,33-340,LAL,,SAS,W (+8),1.0,39:42,15.0,24.0,0.625,3.0,7.0,0.429,9.0,13.0,0.692,0.0,5.0,5.0,6.0,2.0,0.0,2.0,1.0,42.0,34.9,19.0
25.0,2018-12-07,33-342,LAL,@,SAS,L (-13),1.0,37:21,13.0,28.0,0.464,3.0,8.0,0.375,6.0,9.0,0.667,2.0,6.0,8.0,11.0,2.0,0.0,1.0,4.0,35.0,29.7,-19.0
26.0,2018-12-08,33-343,LAL,@,MEM,W (+23),1.0,31:38,9.0,18.0,0.5,0.0,3.0,0.0,2.0,3.0,0.667,1.0,7.0,8.0,9.0,2.0,0.0,5.0,2.0,20.0,15.9,21.0
27.0,2018-12-10,33-345,LAL,,MIA,W (+3),1.0,37:31,10.0,19.0,0.526,4.0,7.0,0.571,4.0,8.0,0.5,0.0,9.0,9.0,12.0,1.0,0.0,2.0,0.0,28.0,27.2,18.0
28.0,2018-12-13,33-348,LAL,@,HOU,L (-15),1.0,36:26,12.0,18.0,0.667,3.0,6.0,0.5,2.0,6.0,0.333,0.0,5.0,5.0,4.0,2.0,0.0,3.0,1.0,29.0,22.5,-9.0
29.0,2018-12-15,33-350,LAL,@,CHO,W (+28),1.0,30:13,7.0,15.0,0.467,2.0,6.0,0.333,8.0,12.0,0.667,1.0,11.0,12.0,11.0,1.0,0.0,3.0,0.0,24.0,24.4,31.0
30.0,2018-12-16,33-351,LAL,@,WAS,L (-18),1.0,32:00,5.0,16.0,0.313,0.0,2.0,0.0,3.0,6.0,0.5,0.0,6.0,6.0,3.0,0.0,1.0,4.0,0.0,13.0,3.2,-21.0
31.0,2018-12-18,33-353,LAL,@,BRK,L (-5),1.0,41:12,13.0,23.0,0.565,2.0,7.0,0.286,8.0,13.0,0.615,1.0,12.0,13.0,8.0,1.0,1.0,5.0,1.0,36.0,29.3,4.0
32.0,2018-12-21,33-356,LAL,,NOP,W (+8),1.0,38:45,8.0,20.0,0.4,0.0,4.0,0.0,6.0,9.0,0.667,2.0,10.0,12.0,14.0,2.0,0.0,2.0,3.0,22.0,23.0,13.0
33.0,2018-12-23,33-358,LAL,,MEM,L (-8),1.0,35:37,8.0,14.0,0.571,2.0,5.0,0.4,4.0,4.0,1.0,1.0,13.0,14.0,7.0,1.0,1.0,4.0,0.0,22.0,22.6,-3.0
34.0,2018-12-25,33-360,LAL,@,GSW,W (+26),1.0,21:15,6.0,11.0,0.545,0.0,2.0,0.0,5.0,8.0,0.625,2.0,11.0,13.0,5.0,1.0,0.0,2.0,1.0,17.0,17.3,5.0
35.0,2019-01-31,34-032,LAL,@,LAC,W (+3),1.0,40:26,9.0,22.0,0.409,1.0,6.0,0.167,5.0,7.0,0.714,1.0,13.0,14.0,9.0,1.0,0.0,4.0,0.0,24.0,19.3,2.0
36.0,2019-02-05,34-037,LAL,@,IND,L (-42),1.0,30:13,7.0,12.0,0.583,2.0,5.0,0.4,2.0,3.0,0.667,0.0,7.0,7.0,9.0,1.0,0.0,6.0,1.0,18.0,15.0,-17.0
37.0,2019-02-07,34-039,LAL,@,BOS,W (+1),1.0,37:44,11.0,21.0,0.524,5.0,10.0,0.5,1.0,5.0,0.2,2.0,10.0,12.0,12.0,3.0,0.0,3.0,4.0,28.0,27.3,11.0
38.0,2019-02-10,34-042,LAL,@,PHI,L (-23),1.0,33:09,8.0,16.0,0.5,2.0,6.0,0.333,0.0,0.0,,0.0,10.0,10.0,9.0,0.0,0.0,4.0,3.0,18.0,14.1,0.0
39.0,2019-02-12,34-044,LAL,@,ATL,L (-4),1.0,43:03,8.0,20.0,0.4,3.0,10.0,0.3,9.0,11.0,0.818,2.0,9.0,11.0,16.0,3.0,1.0,2.0,3.0,28.0,32.2,0.0
40.0,2019-02-21,34-053,LAL,,HOU,W (+5),1.0,40:08,11.0,23.0,0.478,0.0,4.0,0.0,7.0,10.0,0.7,4.0,8.0,12.0,6.0,1.0,1.0,4.0,1.0,29.0,22.8,6.0
41.0,2019-02-23,34-055,LAL,@,NOP,L (-13),1.0,38:31,11.0,17.0,0.647,3.0,6.0,0.5,2.0,6.0,0.333,0.0,7.0,7.0,12.0,4.0,1.0,4.0,0.0,27.0,29.1,-10.0
42.0,2019-02-25,34-057,LAL,@,MEM,L (-5),1.0,39:44,8.0,23.0,0.348,0.0,4.0,0.0,8.0,10.0,0.8,3.0,9.0,12.0,11.0,3.0,0.0,5.0,3.0,24.0,19.6,2.0
43.0,2019-02-27,34-059,LAL,,NOP,W (+6),1.0,37:19,13.0,24.0,0.542,4.0,9.0,0.444,3.0,8.0,0.375,1.0,5.0,6.0,10.0,2.0,1.0,2.0,2.0,33.0,28.5,2.0
44.0,2019-03-01,34-061,LAL,,MIL,L (-11),1.0,38:49,10.0,19.0,0.526,3.0,8.0,0.375,8.0,10.0,0.8,2.0,5.0,7.0,10.0,1.0,0.0,3.0,2.0,31.0,28.0,-4.0
45.0,2019-03-02,34-062,LAL,@,PHO,L (-9),1.0,40:46,10.0,21.0,0.476,4.0,9.0,0.444,3.0,7.0,0.429,0.0,9.0,9.0,16.0,0.0,0.0,3.0,2.0,27.0,24.8,-1.0
46.0,2019-03-04,34-064,LAL,,LAC,L (-8),1.0,42:24,9.0,18.0,0.5,1.0,6.0,0.167,8.0,12.0,0.667,0.0,8.0,8.0,6.0,1.0,1.0,2.0,3.0,27.0,21.5,-11.0
47.0,2019-03-06,34-066,LAL,,DEN,L (-16),1.0,31:07,13.0,22.0,0.591,2.0,7.0,0.286,3.0,8.0,0.375,0.0,7.0,7.0,7.0,1.0,1.0,4.0,4.0,31.0,21.9,-8.0
48.0,2019-03-09,34-069,LAL,,BOS,L (-13),1.0,27:46,13.0,23.0,0.565,1.0,5.0,0.2,3.0,7.0,0.429,2.0,8.0,10.0,12.0,0.0,0.0,3.0,0.0,30.0,26.7,11.0
49.0,2019-03-12,34-072,LAL,@,CHI,W (+16),1.0,33:24,15.0,23.0,0.652,2.0,4.0,0.5,4.0,5.0,0.8,1.0,9.0,10.0,4.0,2.0,0.0,5.0,2.0,36.0,27.9,9.0
50.0,2019-03-14,34-074,LAL,@,TOR,L (-13),1.0,31:47,12.0,23.0,0.522,1.0,5.0,0.2,4.0,7.0,0.571,0.0,4.0,4.0,6.0,1.0,0.0,4.0,2.0,29.0,18.1,0.0
51.0,2019-03-17,34-077,LAL,@,NYK,L (-1),1.0,35:00,11.0,26.0,0.423,0.0,6.0,0.0,11.0,13.0,0.846,2.0,4.0,6.0,8.0,0.0,1.0,2.0,2.0,33.0,24.5,9.0
52.0,2019-03-22,34-082,LAL,,BRK,L (-5),1.0,36:42,8.0,25.0,0.32,1.0,7.0,0.143,8.0,12.0,0.667,3.0,6.0,9.0,14.0,1.0,1.0,8.0,3.0,25.0,15.3,-2.0
53.0,2019-03-24,34-084,LAL,,SAC,W (+5),1.0,35:16,9.0,22.0,0.409,3.0,6.0,0.5,8.0,9.0,0.889,2.0,9.0,11.0,11.0,2.0,1.0,4.0,1.0,29.0,26.9,5.0
54.0,2019-03-26,34-086,LAL,,WAS,W (+18),1.0,33:54,11.0,20.0,0.55,1.0,6.0,0.167,0.0,2.0,0.0,0.0,7.0,7.0,14.0,1.0,0.0,3.0,1.0,23.0,22.1,3.0
55.0,2019-03-29,34-089,LAL,,CHO,W (+14),1.0,31:58,11.0,19.0,0.579,4.0,7.0,0.571,1.0,2.0,0.5,0.0,3.0,3.0,9.0,0.0,0.0,6.0,1.0,27.0,18.5,14.0
