,G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1.0,2011-12-25,26-360,MIA,@,DAL,W (+11),1.0,36:16,11.0,19.0,0.579,0.0,0.0,,15.0,19.0,0.789,3.0,7.0,10.0,6.0,2.0,2.0,3.0,3.0,37.0,34.1,27.0
1,2.0,2011-12-27,26-362,MIA,,BOS,W (+8),1.0,36:00,9.0,14.0,0.643,0.0,0.0,,8.0,9.0,0.889,1.0,5.0,6.0,5.0,2.0,1.0,3.0,3.0,26.0,23.6,-7.0
2,3.0,2011-12-28,26-363,MIA,@,CHA,W (+1),1.0,38:49,13.0,23.0,0.565,0.0,0.0,,9.0,9.0,1.0,0.0,6.0,6.0,7.0,3.0,2.0,2.0,0.0,35.0,33.2,5.0
3,4.0,2011-12-30,27-000,MIA,@,MIN,W (+2),1.0,37:13,16.0,26.0,0.615,0.0,1.0,0.0,2.0,4.0,0.5,1.0,7.0,8.0,10.0,4.0,1.0,4.0,2.0,34.0,31.1,14.0
4,5.0,2012-01-01,27-002,MIA,,CHA,W (+39),1.0,28:02,6.0,10.0,0.6,0.0,0.0,,4.0,6.0,0.667,0.0,9.0,9.0,5.0,1.0,0.0,2.0,2.0,16.0,15.0,24.0
5,6.0,2012-01-02,27-003,MIA,,ATL,L (-8),1.0,38:33,11.0,18.0,0.611,0.0,0.0,,6.0,9.0,0.667,2.0,5.0,7.0,6.0,0.0,0.0,4.0,1.0,28.0,21.3,-1.0
6,7.0,2012-01-04,27-005,MIA,,IND,W (+35),1.0,37:41,12.0,21.0,0.571,0.0,0.0,,9.0,11.0,0.818,2.0,6.0,8.0,13.0,2.0,0.0,2.0,2.0,33.0,33.8,31.0
7,8.0,2012-01-07,27-008,MIA,@,NJN,W (+11),1.0,37:23,11.0,17.0,0.647,0.0,1.0,0.0,10.0,12.0,0.833,0.0,7.0,7.0,9.0,2.0,1.0,8.0,2.0,32.0,26.0,7.0
8,9.0,2012-01-10,27-011,MIA,@,GSW,L (-5),1.0,42:33,10.0,19.0,0.526,0.0,2.0,0.0,6.0,8.0,0.75,1.0,10.0,11.0,7.0,2.0,0.0,5.0,1.0,26.0,21.1,-5.0
9,10.0,2012-01-11,27-012,MIA,@,LAC,L (-6),1.0,41:53,7.0,19.0,0.368,0.0,1.0,0.0,9.0,17.0,0.529,2.0,11.0,13.0,7.0,2.0,0.0,6.0,5.0,23.0,12.9,-9.0
10,11.0,2012-01-13,27-014,MIA,@,DEN,L (-13),1.0,37:11,13.0,20.0,0.65,3.0,5.0,0.6,6.0,11.0,0.545,1.0,4.0,5.0,6.0,2.0,1.0,4.0,0.0,35.0,29.0,-16.0
11,12.0,2012-01-17,27-018,MIA,,SAS,W (+22),1.0,34:53,12.0,21.0,0.571,4.0,6.0,0.667,5.0,9.0,0.556,1.0,4.0,5.0,10.0,0.0,0.0,4.0,0.0,33.0,26.4,19.0
12,13.0,2012-01-19,27-020,MIA,,LAL,W (+11),1.0,37:13,12.0,27.0,0.444,2.0,3.0,0.667,5.0,7.0,0.714,3.0,5.0,8.0,8.0,4.0,3.0,3.0,4.0,31.0,26.8,0.0
13,14.0,2012-01-21,27-022,MIA,,PHI,W (+21),1.0,35:47,12.0,17.0,0.706,0.0,0.0,,4.0,4.0,1.0,0.0,9.0,9.0,5.0,4.0,3.0,4.0,1.0,28.0,28.8,9.0
14,15.0,2012-01-22,27-023,MIA,,MIL,L (-9),1.0,37:22,8.0,18.0,0.444,0.0,1.0,0.0,12.0,13.0,0.923,4.0,9.0,13.0,5.0,1.0,0.0,3.0,2.0,28.0,24.4,-4.0
15,16.0,2012-01-24,27-025,MIA,,CLE,W (+7),1.0,37:48,8.0,21.0,0.381,1.0,4.0,0.25,1.0,4.0,0.25,1.0,4.0,5.0,5.0,2.0,0.0,5.0,1.0,18.0,7.3,9.0
16,17.0,2012-01-25,27-026,MIA,@,DET,W (+3),1.0,41:39,9.0,20.0,0.45,1.0,3.0,0.333,13.0,14.0,0.929,1.0,5.0,6.0,7.0,2.0,0.0,4.0,3.0,32.0,25.1,6.0
17,18.0,2012-01-27,27-028,MIA,,NYK,W (+10),1.0,40:17,11.0,18.0,0.611,0.0,2.0,0.0,9.0,10.0,0.9,1.0,7.0,8.0,7.0,0.0,0.0,4.0,2.0,31.0,25.3,4.0
18,19.0,2012-01-29,27-030,MIA,,CHI,W (+4),1.0,40:58,12.0,23.0,0.522,1.0,1.0,1.0,10.0,15.0,0.667,1.0,10.0,11.0,5.0,0.0,1.0,6.0,2.0,35.0,22.8,3.0
19,20.0,2012-01-30,27-031,MIA,,NOH,W (+14),1.0,29:44,8.0,12.0,0.667,1.0,2.0,0.5,5.0,7.0,0.714,4.0,7.0,11.0,8.0,1.0,0.0,4.0,1.0,22.0,23.1,29.0
20,21.0,2012-02-01,27-033,MIA,@,MIL,L (-8),1.0,40:17,14.0,24.0,0.583,4.0,7.0,0.571,8.0,10.0,0.8,0.0,8.0,8.0,5.0,2.0,0.0,7.0,1.0,40.0,28.5,-6.0
