,G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1.0,2012-10-30,27-305,MIA,,BOS,W (+13),1.0,28:52,10.0,16.0,0.625,2.0,4.0,0.5,4.0,5.0,0.8,1.0,9.0,10.0,3.0,2.0,0.0,0.0,2.0,26.0,25.1,12.0
1,2.0,2012-11-02,27-308,MIA,@,NYK,L (-20),1.0,36:41,8.0,16.0,0.5,2.0,3.0,0.667,5.0,6.0,0.833,0.0,7.0,7.0,5.0,0.0,3.0,5.0,2.0,23.0,16.5,-21.0
2,3.0,2012-11-03,27-309,MIA,,DEN,W (+3),1.0,39:12,8.0,17.0,0.471,0.0,1.0,0.0,4.0,4.0,1.0,1.0,8.0,9.0,11.0,0.0,2.0,0.0,2.0,20.0,22.7,7.0
3,4.0,2012-11-05,27-311,MIA,,PHO,W (+25),1.0,30:11,10.0,17.0,0.588,2.0,3.0,0.667,1.0,3.0,0.333,3.0,8.0,11.0,1.0,0.0,0.0,3.0,2.0,23.0,15.7,25.0
4,5.0,2012-11-07,27-313,MIA,,BRK,W (+30),1.0,29:59,7.0,12.0,0.583,2.0,3.0,0.667,4.0,4.0,1.0,4.0,8.0,12.0,8.0,1.0,0.0,2.0,1.0,20.0,23.8,18.0
5,6.0,2012-11-09,27-315,MIA,@,ATL,W (+6),1.0,35:40,10.0,17.0,0.588,0.0,2.0,0.0,1.0,3.0,0.333,2.0,9.0,11.0,9.0,1.0,0.0,2.0,2.0,21.0,20.9,0.0
6,7.0,2012-11-11,27-317,MIA,@,MEM,L (-18),1.0,35:43,10.0,19.0,0.526,0.0,1.0,0.0,0.0,4.0,0.0,3.0,7.0,10.0,6.0,2.0,1.0,2.0,2.0,20.0,17.4,-18.0
7,8.0,2012-11-12,27-318,MIA,@,HOU,W (+3),1.0,39:55,14.0,26.0,0.538,5.0,8.0,0.625,5.0,8.0,0.625,1.0,9.0,10.0,6.0,0.0,0.0,0.0,1.0,38.0,31.4,8.0
8,9.0,2012-11-14,27-320,MIA,@,LAC,L (-7),1.0,41:13,12.0,23.0,0.522,0.0,3.0,0.0,6.0,9.0,0.667,0.0,5.0,5.0,7.0,1.0,2.0,4.0,3.0,30.0,21.1,-15.0
9,10.0,2012-11-15,27-321,MIA,@,DEN,W (+5),1.0,41:57,11.0,23.0,0.478,0.0,1.0,0.0,5.0,6.0,0.833,1.0,6.0,7.0,12.0,1.0,3.0,4.0,0.0,27.0,24.9,9.0
10,11.0,2012-11-17,27-323,MIA,@,PHO,W (+9),1.0,40:43,8.0,20.0,0.4,1.0,3.0,0.333,4.0,7.0,0.571,0.0,7.0,7.0,3.0,2.0,0.0,1.0,1.0,21.0,13.8,20.0
11,12.0,2012-11-21,27-327,MIA,,MIL,W (+7),1.0,42:32,11.0,21.0,0.524,2.0,4.0,0.5,4.0,8.0,0.5,2.0,8.0,10.0,8.0,1.0,1.0,1.0,3.0,28.0,25.0,5.0
12,13.0,2012-11-24,27-330,MIA,,CLE,W (+2),1.0,39:58,10.0,16.0,0.625,2.0,5.0,0.4,8.0,9.0,0.889,1.0,5.0,6.0,5.0,0.0,1.0,7.0,3.0,30.0,20.6,7.0
13,14.0,2012-11-29,27-335,MIA,,SAS,W (+5),1.0,39:06,9.0,16.0,0.563,2.0,5.0,0.4,3.0,6.0,0.5,3.0,6.0,9.0,7.0,4.0,0.0,4.0,2.0,23.0,22.2,-1.0
14,15.0,2012-12-01,27-337,MIA,,BRK,W (+13),1.0,36:57,8.0,15.0,0.533,1.0,2.0,0.5,4.0,6.0,0.667,1.0,8.0,9.0,6.0,1.0,0.0,2.0,3.0,21.0,18.0,14.0
15,16.0,2012-12-04,27-340,MIA,@,WAS,L (-4),1.0,42:53,12.0,24.0,0.5,1.0,4.0,0.25,1.0,3.0,0.333,2.0,11.0,13.0,11.0,3.0,2.0,3.0,1.0,26.0,26.6,-3.0
16,17.0,2012-12-06,27-342,MIA,,NYK,L (-20),1.0,38:35,11.0,20.0,0.55,3.0,5.0,0.6,6.0,9.0,0.667,2.0,8.0,10.0,9.0,3.0,0.0,2.0,0.0,31.0,31.3,-17.0
17,18.0,2012-12-08,27-344,MIA,,NOH,W (+16),1.0,35:55,11.0,16.0,0.688,0.0,0.0,,2.0,3.0,0.667,1.0,4.0,5.0,7.0,2.0,0.0,4.0,2.0,24.0,20.8,10.0
18,19.0,2012-12-10,27-346,MIA,,ATL,W (+9),1.0,40:21,10.0,16.0,0.625,1.0,2.0,0.5,6.0,7.0,0.857,1.0,6.0,7.0,6.0,2.0,0.0,3.0,0.0,27.0,25.1,12.0
19,20.0,2012-12-12,27-348,MIA,,GSW,L (-2),1.0,42:21,12.0,23.0,0.522,2.0,4.0,0.5,5.0,5.0,1.0,1.0,2.0,3.0,5.0,1.0,0.0,4.0,0.0,31.0,21.5,-3.0
20,21.0,2012-12-15,27-351,MIA,,WAS,W (+30),1.0,30:33,8.0,15.0,0.533,0.0,3.0,0.0,7.0,11.0,0.636,0.0,10.0,10.0,5.0,1.0,0.0,2.0,0.0,23.0,19.6,36.0
21,22.0,2012-12-18,27-354,MIA,,MIN,W (+11),1.0,41:59,8.0,18.0,0.444,2.0,5.0,0.4,4.0,5.0,0.8,0.0,6.0,6.0,11.0,1.0,4.0,0.0,0.0,22.0,25.5,12.0
22,23.0,2012-12-20,27-356,MIA,@,DAL,W (+15),1.0,30:55,9.0,13.0,0.692,3.0,5.0,0.6,3.0,4.0,0.75,0.0,9.0,9.0,5.0,1.0,1.0,5.0,0.0,24.0,21.0,25.0
23,24.0,2012-12-22,27-358,MIA,,UTA,W (+16),1.0,37:30,11.0,20.0,0.55,1.0,1.0,1.0,7.0,10.0,0.7,1.0,8.0,9.0,7.0,0.0,0.0,4.0,0.0,30.0,23.2,14.0
24,25.0,2012-12-25,27-361,MIA,,OKC,W (+6),1.0,41:52,12.0,20.0,0.6,0.0,3.0,0.0,5.0,5.0,1.0,3.0,5.0,8.0,9.0,2.0,1.0,3.0,3.0,29.0,28.2,13.0
25,26.0,2012-12-26,27-362,MIA,@,CHA,W (+13),1.0,38:35,9.0,19.0,0.474,2.0,4.0,0.5,7.0,8.0,0.875,2.0,10.0,12.0,8.0,4.0,2.0,3.0,1.0,27.0,28.9,12.0
26,27.0,2012-12-28,27-364,MIA,@,DET,L (-10),1.0,44:19,15.0,22.0,0.682,2.0,4.0,0.5,3.0,4.0,0.75,1.0,5.0,6.0,5.0,6.0,1.0,3.0,1.0,35.0,34.2,-2.0
27,28.0,2012-12-29,27-365,MIA,@,MIL,L (-19),1.0,36:29,11.0,20.0,0.55,1.0,2.0,0.5,3.0,5.0,0.6,1.0,5.0,6.0,7.0,2.0,1.0,6.0,2.0,26.0,18.6,-8.0
28,29.0,2012-12-31,28-001,MIA,@,ORL,W (+2),1.0,47:53,10.0,22.0,0.455,1.0,6.0,0.167,15.0,16.0,0.938,1.0,7.0,8.0,11.0,1.0,0.0,3.0,2.0,36.0,31.9,4.0
29,30.0,2013-01-02,28-003,MIA,,DAL,W (+10),1.0,42:01,11.0,20.0,0.55,1.0,3.0,0.333,9.0,11.0,0.818,1.0,11.0,12.0,9.0,3.0,1.0,4.0,0.0,32.0,31.6,12.0
