G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1.0,2010-10-26,25-300,MIA,@,BOS,L (-8),1.0,42:39,10.0,21.0,0.476,3.0,6.0,0.5,8.0,12.0,0.667,0.0,4.0,4.0,3.0,1.0,2.0,8.0,1.0,31.0,16.0,1.0
2.0,2010-10-27,25-301,MIA,@,PHI,W (+10),1.0,37:33,5.0,12.0,0.417,0.0,2.0,0.0,6.0,6.0,1.0,0.0,6.0,6.0,7.0,2.0,1.0,9.0,1.0,16.0,9.6,6.0
3.0,2010-10-29,25-303,MIA,,ORL,W (+26),1.0,30:02,6.0,13.0,0.462,2.0,3.0,0.667,1.0,2.0,0.5,0.0,6.0,6.0,7.0,0.0,0.0,3.0,4.0,15.0,10.0,13.0
4.0,2010-10-31,25-305,MIA,@,NJN,W (+23),1.0,28:57,5.0,12.0,0.417,0.0,4.0,0.0,10.0,12.0,0.833,0.0,7.0,7.0,7.0,2.0,0.0,5.0,3.0,20.0,15.6,18.0
5.0,2010-11-02,25-307,MIA,,MIN,W (+32),1.0,32:26,7.0,12.0,0.583,0.0,2.0,0.0,6.0,8.0,0.75,0.0,0.0,0.0,12.0,2.0,1.0,1.0,0.0,20.0,23.7,32.0
6.0,2010-11-05,25-310,MIA,@,NOH,L (-3),1.0,41:12,6.0,16.0,0.375,1.0,2.0,0.5,7.0,8.0,0.875,0.0,7.0,7.0,10.0,3.0,1.0,3.0,0.0,20.0,20.6,-6.0
7.0,2010-11-06,25-311,MIA,,NJN,W (+12),1.0,33:35,9.0,16.0,0.563,2.0,4.0,0.5,3.0,5.0,0.6,0.0,3.0,3.0,9.0,2.0,0.0,4.0,1.0,23.0,19.4,11.0
8.0,2010-11-09,25-314,MIA,,UTA,L (-2),1.0,46:44,5.0,18.0,0.278,0.0,1.0,0.0,10.0,11.0,0.909,2.0,9.0,11.0,14.0,1.0,3.0,2.0,3.0,20.0,22.8,4.0
9.0,2010-11-11,25-316,MIA,,BOS,L (-5),1.0,44:28,9.0,21.0,0.429,0.0,5.0,0.0,17.0,22.0,0.773,0.0,10.0,10.0,9.0,3.0,0.0,4.0,3.0,35.0,29.0,0.0
10.0,2010-11-13,25-318,MIA,,TOR,W (+9),1.0,39:20,8.0,21.0,0.381,0.0,1.0,0.0,7.0,11.0,0.636,1.0,1.0,2.0,11.0,2.0,0.0,3.0,0.0,23.0,17.6,11.0
