,G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1.0,2009-10-27,24-301,CLE,,BOS,L (-6),1.0,44:55,12.0,22.0,0.545,4.0,9.0,0.444,10.0,13.0,0.769,0.0,4.0,4.0,8.0,2.0,4.0,5.0,4.0,38.0,31.2,0.0
1,2.0,2009-10-28,24-302,CLE,@,TOR,L (-10),1.0,39:47,7.0,19.0,0.368,1.0,5.0,0.2,8.0,14.0,0.571,2.0,9.0,11.0,12.0,2.0,0.0,4.0,1.0,23.0,20.2,2.0
2,3.0,2009-10-30,24-304,CLE,@,MIN,W (+17),1.0,33:26,10.0,18.0,0.556,2.0,3.0,0.667,2.0,3.0,0.667,2.0,7.0,9.0,6.0,1.0,1.0,2.0,1.0,24.0,22.0,17.0
3,4.0,2009-10-31,24-305,CLE,,CHA,W (+11),1.0,37:14,5.0,11.0,0.455,0.0,1.0,0.0,4.0,6.0,0.667,1.0,6.0,7.0,9.0,0.0,0.0,4.0,1.0,14.0,11.9,19.0
4,5.0,2009-11-03,24-308,CLE,,WAS,W (+12),1.0,35:59,7.0,16.0,0.438,2.0,7.0,0.286,11.0,13.0,0.846,3.0,5.0,8.0,6.0,3.0,0.0,4.0,0.0,27.0,24.6,5.0
5,6.0,2009-11-05,24-310,CLE,,CHI,L (-1),1.0,38:13,9.0,17.0,0.529,1.0,4.0,0.25,6.0,9.0,0.667,0.0,7.0,7.0,6.0,1.0,1.0,3.0,0.0,25.0,20.5,-1.0
6,7.0,2009-11-06,24-311,CLE,@,NYK,W (+9),1.0,35:37,12.0,17.0,0.706,2.0,4.0,0.5,7.0,9.0,0.778,0.0,8.0,8.0,9.0,3.0,0.0,7.0,3.0,33.0,28.6,8.0
7,8.0,2009-11-11,24-316,CLE,@,ORL,W (+9),1.0,39:07,13.0,23.0,0.565,2.0,3.0,0.667,8.0,9.0,0.889,2.0,6.0,8.0,4.0,1.0,0.0,4.0,2.0,36.0,26.9,7.0
8,9.0,2009-11-12,24-317,CLE,@,MIA,W (+7),1.0,38:53,8.0,20.0,0.4,2.0,4.0,0.5,16.0,18.0,0.889,1.0,3.0,4.0,7.0,2.0,1.0,2.0,2.0,34.0,28.8,6.0
9,10.0,2009-11-14,24-319,CLE,,UTA,W (+4),1.0,37:33,6.0,15.0,0.4,0.0,3.0,0.0,9.0,12.0,0.75,0.0,6.0,6.0,9.0,2.0,1.0,2.0,1.0,21.0,20.1,6.0
10,11.0,2009-11-17,24-322,CLE,,GSW,W (+6),1.0,38:32,11.0,19.0,0.579,1.0,5.0,0.2,8.0,10.0,0.8,0.0,5.0,5.0,12.0,1.0,2.0,2.0,2.0,31.0,30.8,8.0
11,12.0,2009-11-18,24-323,CLE,@,WAS,L (-17),1.0,35:08,12.0,20.0,0.6,3.0,7.0,0.429,7.0,8.0,0.875,0.0,2.0,2.0,9.0,2.0,0.0,6.0,4.0,34.0,25.7,-12.0
12,13.0,2009-11-20,24-325,CLE,@,IND,W (+10),1.0,37:53,13.0,25.0,0.52,1.0,3.0,0.333,13.0,14.0,0.929,2.0,7.0,9.0,7.0,1.0,1.0,2.0,1.0,40.0,35.0,4.0
13,14.0,2009-11-21,24-326,CLE,,PHI,W (+6),1.0,38:32,13.0,20.0,0.65,2.0,4.0,0.5,4.0,6.0,0.667,0.0,7.0,7.0,9.0,0.0,0.0,5.0,3.0,32.0,24.6,11.0
14,15.0,2009-11-25,24-330,CLE,@,DET,W (+10),1.0,38:49,12.0,24.0,0.5,1.0,4.0,0.25,9.0,11.0,0.818,1.0,7.0,8.0,7.0,1.0,0.0,5.0,2.0,34.0,24.1,12.0
15,16.0,2009-11-27,24-332,CLE,@,CHA,L (-7),1.0,38:01,10.0,19.0,0.526,2.0,7.0,0.286,3.0,4.0,0.75,0.0,6.0,6.0,4.0,0.0,0.0,6.0,4.0,25.0,12.3,3.0
16,17.0,2009-11-28,24-333,CLE,,DAL,W (+16),1.0,36:21,10.0,20.0,0.5,0.0,2.0,0.0,5.0,7.0,0.714,0.0,5.0,5.0,12.0,0.0,0.0,1.0,2.0,25.0,22.3,8.0
17,18.0,2009-12-02,24-337,CLE,,PHO,W (+17),1.0,34:37,6.0,15.0,0.4,0.0,3.0,0.0,0.0,0.0,,1.0,7.0,8.0,10.0,1.0,1.0,3.0,0.0,12.0,12.4,19.0
18,19.0,2009-12-04,24-339,CLE,,CHI,W (+14),1.0,34:12,8.0,17.0,0.471,1.0,3.0,0.333,6.0,10.0,0.6,0.0,6.0,6.0,11.0,0.0,0.0,1.0,1.0,23.0,20.8,19.0
19,20.0,2009-12-06,24-341,CLE,@,MIL,W (+15),1.0,32:18,4.0,10.0,0.4,0.0,0.0,,6.0,7.0,0.857,1.0,4.0,5.0,10.0,1.0,1.0,5.0,2.0,14.0,13.0,8.0
20,21.0,2009-12-08,24-343,CLE,@,MEM,L (-2),1.0,44:47,14.0,29.0,0.483,4.0,11.0,0.364,11.0,12.0,0.917,4.0,9.0,13.0,6.0,0.0,1.0,5.0,2.0,43.0,32.5,6.0
