G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1.0,2003-10-29,18-303,CLE,@,SAC,L (-14),1.0,42:50,12.0,20.0,0.6,0.0,2.0,0.0,1.0,3.0,0.333,2.0,4.0,6.0,9.0,4.0,0.0,2.0,3.0,25.0,24.7,-9.0
2.0,2003-10-30,18-304,CLE,@,PHO,L (-9),1.0,40:21,8.0,17.0,0.471,1.0,5.0,0.2,4.0,7.0,0.571,2.0,10.0,12.0,8.0,1.0,0.0,7.0,1.0,21.0,14.7,-3.0
3.0,2003-11-01,18-306,CLE,@,POR,L (-19),1.0,39:10,3.0,12.0,0.25,0.0,1.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,6.0,2.0,0.0,2.0,3.0,8.0,5.0,-21.0
4.0,2003-11-05,18-310,CLE,,DEN,L (-4),1.0,41:06,3.0,11.0,0.273,0.0,2.0,0.0,1.0,1.0,1.0,2.0,9.0,11.0,7.0,2.0,3.0,2.0,1.0,7.0,11.2,-3.0
5.0,2003-11-07,18-312,CLE,@,IND,L (-1),1.0,43:44,8.0,18.0,0.444,1.0,2.0,0.5,6.0,7.0,0.857,0.0,5.0,5.0,3.0,0.0,0.0,7.0,2.0,23.0,9.0,-7.0
6.0,2003-11-08,18-313,CLE,,WAS,W (+13),1.0,44:30,8.0,19.0,0.421,0.0,0.0,,1.0,4.0,0.25,5.0,3.0,8.0,9.0,1.0,1.0,2.0,1.0,17.0,15.7,14.0
7.0,2003-11-10,18-315,CLE,,NYK,W (+14),1.0,33:39,7.0,12.0,0.583,3.0,3.0,1.0,0.0,0.0,,1.0,4.0,5.0,4.0,1.0,1.0,2.0,0.0,17.0,15.8,20.0
8.0,2003-11-12,18-317,CLE,@,MIA,L (-5),1.0,42:40,6.0,15.0,0.4,2.0,5.0,0.4,4.0,6.0,0.667,1.0,2.0,3.0,7.0,2.0,1.0,4.0,3.0,18.0,12.8,-4.0
9.0,2003-11-14,18-319,CLE,@,BOS,L (-9),1.0,35:36,3.0,12.0,0.25,2.0,4.0,0.5,2.0,4.0,0.5,1.0,4.0,5.0,3.0,0.0,0.0,4.0,3.0,10.0,0.8,-1.0
10.0,2003-11-15,18-320,CLE,,PHI,W (+3),1.0,46:57,10.0,19.0,0.526,0.0,1.0,0.0,2.0,4.0,0.5,0.0,5.0,5.0,8.0,1.0,2.0,5.0,2.0,22.0,15.6,8.0
11.0,2003-11-18,18-323,CLE,,LAC,W (+8),1.0,39:25,6.0,16.0,0.375,0.0,2.0,0.0,2.0,4.0,0.5,2.0,5.0,7.0,8.0,0.0,1.0,3.0,2.0,14.0,9.8,1.0
12.0,2003-11-19,18-324,CLE,@,WAS,L (-11),1.0,39:09,10.0,18.0,0.556,2.0,4.0,0.5,6.0,8.0,0.75,2.0,5.0,7.0,8.0,2.0,1.0,4.0,2.0,28.0,25.0,-5.0
13.0,2003-11-21,18-326,CLE,,MIN,L (-14),1.0,35:18,8.0,19.0,0.421,0.0,2.0,0.0,3.0,3.0,1.0,2.0,7.0,9.0,2.0,1.0,0.0,1.0,4.0,19.0,12.2,-5.0
14.0,2003-11-22,18-327,CLE,@,ATL,L (-9),1.0,42:18,3.0,16.0,0.188,0.0,1.0,0.0,9.0,10.0,0.9,2.0,4.0,6.0,4.0,2.0,1.0,3.0,1.0,15.0,9.3,-6.0
15.0,2003-11-26,18-331,CLE,@,NOH,L (-10),1.0,38:48,5.0,17.0,0.294,1.0,4.0,0.25,4.0,4.0,1.0,2.0,6.0,8.0,9.0,0.0,0.0,4.0,1.0,15.0,10.2,-13.0
16.0,2003-11-28,18-333,CLE,@,DET,L (-4),1.0,36:27,2.0,8.0,0.25,0.0,2.0,0.0,2.0,3.0,0.667,0.0,2.0,2.0,7.0,0.0,0.0,4.0,3.0,6.0,1.1,-10.0
17.0,2003-11-29,18-334,CLE,,MEM,L (-7),1.0,54:41,14.0,28.0,0.5,3.0,6.0,0.5,2.0,3.0,0.667,2.0,14.0,16.0,7.0,1.0,1.0,8.0,1.0,33.0,22.4,-10.0
18.0,2003-12-02,18-337,CLE,@,DEN,L (-12),1.0,32:31,6.0,19.0,0.316,2.0,3.0,0.667,5.0,7.0,0.714,3.0,3.0,6.0,5.0,2.0,0.0,2.0,4.0,19.0,12.2,-12.0
19.0,2003-12-03,18-338,CLE,@,LAC,L (-10),1.0,34:05,2.0,13.0,0.154,0.0,3.0,0.0,0.0,0.0,,4.0,2.0,6.0,8.0,2.0,0.0,5.0,2.0,4.0,0.9,3.0
20.0,2003-12-06,18-341,CLE,,ATL,W (+10),1.0,36:04,4.0,12.0,0.333,0.0,2.0,0.0,0.0,0.0,,1.0,5.0,6.0,5.0,2.0,1.0,3.0,2.0,8.0,5.8,-5.0
21.0,2003-12-09,18-344,CLE,,TOR,L (-7),1.0,37:03,7.0,16.0,0.438,0.0,0.0,,4.0,4.0,1.0,0.0,5.0,5.0,3.0,1.0,0.0,2.0,2.0,18.0,11.4,-2.0
22.0,2003-12-11,18-346,CLE,,DET,W (+9),1.0,42:46,8.0,21.0,0.381,1.0,3.0,0.333,6.0,8.0,0.75,1.0,2.0,3.0,9.0,1.0,1.0,4.0,3.0,23.0,14.8,9.0
23.0,2003-12-13,18-348,CLE,,BOS,L (-7),1.0,45:25,10.0,20.0,0.5,1.0,5.0,0.2,16.0,18.0,0.889,1.0,2.0,3.0,4.0,0.0,0.0,2.0,2.0,37.0,27.5,-2.0
24.0,2003-12-15,18-350,CLE,@,IND,L (-10),1.0,43:40,10.0,16.0,0.625,0.0,3.0,0.0,7.0,8.0,0.875,1.0,3.0,4.0,6.0,3.0,3.0,6.0,1.0,27.0,23.9,-12.0
25.0,2003-12-17,18-352,CLE,,HOU,L (-4),1.0,36:00,7.0,19.0,0.368,2.0,4.0,0.5,1.0,2.0,0.5,0.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,17.0,5.7,-9.0
26.0,2003-12-19,18-354,CLE,@,PHI,W (+7),1.0,41:41,14.0,24.0,0.583,5.0,7.0,0.714,3.0,3.0,1.0,1.0,3.0,4.0,5.0,4.0,0.0,4.0,1.0,36.0,29.5,9.0
27.0,2003-12-20,18-355,CLE,@,CHI,W (+8),1.0,41:44,11.0,22.0,0.5,0.0,5.0,0.0,10.0,12.0,0.833,1.0,5.0,6.0,10.0,2.0,2.0,4.0,2.0,32.0,28.0,9.0
28.0,2003-12-23,18-358,CLE,,NOH,W (+11),1.0,39:10,7.0,22.0,0.318,1.0,6.0,0.167,7.0,8.0,0.875,2.0,4.0,6.0,2.0,6.0,1.0,5.0,1.0,22.0,14.3,9.0
29.0,2003-12-25,18-360,CLE,@,ORL,L (-12),1.0,47:06,13.0,28.0,0.464,4.0,10.0,0.4,4.0,5.0,0.8,1.0,1.0,2.0,6.0,2.0,1.0,8.0,0.0,34.0,19.1,-9.0
30.0,2003-12-26,18-361,CLE,,CHI,L (-7),1.0,34:20,7.0,24.0,0.292,1.0,4.0,0.25,3.0,4.0,0.75,1.0,2.0,3.0,4.0,1.0,2.0,5.0,0.0,18.0,5.1,-12.0
31.0,2003-12-28,18-363,CLE,,POR,W (+12),1.0,39:05,15.0,23.0,0.652,0.0,2.0,0.0,2.0,2.0,1.0,3.0,7.0,10.0,9.0,3.0,0.0,5.0,1.0,32.0,30.0,11.0
32.0,2003-12-30,19-000,CLE,,IND,L (-3),1.0,38:07,9.0,20.0,0.45,0.0,4.0,0.0,4.0,6.0,0.667,2.0,8.0,10.0,4.0,0.0,0.0,4.0,2.0,22.0,12.6,-2.0
33.0,2004-01-02,19-003,CLE,@,NJN,L (-15),1.0,36:04,6.0,19.0,0.316,0.0,4.0,0.0,2.0,4.0,0.5,1.0,3.0,4.0,9.0,1.0,0.0,3.0,2.0,14.0,7.4,-14.0
34.0,2004-01-06,19-007,CLE,,NYK,W (+11),1.0,41:25,6.0,17.0,0.353,0.0,2.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,10.0,1.0,1.0,4.0,1.0,14.0,10.0,10.0
35.0,2004-01-07,19-008,CLE,@,TOR,L (-6),1.0,38:14,10.0,23.0,0.435,0.0,3.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,5.0,0.0,0.0,2.0,3.0,21.0,9.4,-2.0
36.0,2004-01-09,19-010,CLE,@,BOS,L (-25),1.0,42:13,7.0,19.0,0.368,0.0,3.0,0.0,5.0,7.0,0.714,0.0,3.0,3.0,6.0,3.0,0.0,5.0,1.0,19.0,10.4,-30.0
37.0,2004-01-12,19-013,CLE,@,LAL,L (-10),1.0,36:26,6.0,20.0,0.3,0.0,3.0,0.0,4.0,5.0,0.8,1.0,4.0,5.0,7.0,1.0,1.0,6.0,3.0,16.0,5.3,3.0
38.0,2004-01-13,19-014,CLE,@,SEA,W (+8),1.0,43:54,11.0,26.0,0.423,0.0,1.0,0.0,5.0,6.0,0.833,4.0,5.0,9.0,9.0,2.0,0.0,4.0,2.0,27.0,20.6,11.0
39.0,2004-01-15,19-016,CLE,@,GSW,L (-17),1.0,43:25,8.0,21.0,0.381,2.0,5.0,0.4,11.0,13.0,0.846,2.0,4.0,6.0,6.0,3.0,0.0,2.0,0.0,29.0,24.5,-14.0
40.0,2004-01-17,19-018,CLE,@,UTA,W (+6),1.0,44:25,12.0,28.0,0.429,2.0,4.0,0.5,3.0,5.0,0.6,1.0,6.0,7.0,2.0,2.0,1.0,4.0,2.0,29.0,15.2,8.0
41.0,2004-01-26,19-027,CLE,,ORL,W (+1),1.0,29:58,7.0,19.0,0.368,1.0,2.0,0.5,1.0,2.0,0.5,0.0,5.0,5.0,3.0,0.0,2.0,3.0,4.0,16.0,5.5,-10.0
42.0,2004-01-28,19-029,CLE,,MIA,W (+1),1.0,44:24,10.0,25.0,0.4,0.0,1.0,0.0,7.0,10.0,0.7,0.0,5.0,5.0,4.0,2.0,1.0,1.0,1.0,27.0,17.9,2.0
43.0,2004-01-30,19-031,CLE,@,MIL,L (-6),1.0,37:17,7.0,25.0,0.28,1.0,6.0,0.167,5.0,8.0,0.625,2.0,6.0,8.0,3.0,1.0,0.0,5.0,5.0,20.0,3.4,3.0
44.0,2004-02-01,19-033,CLE,@,WAS,W (+4),1.0,43:24,14.0,27.0,0.519,1.0,2.0,0.5,9.0,11.0,0.818,3.0,3.0,6.0,4.0,0.0,2.0,6.0,4.0,38.0,23.5,0.0
45.0,2004-02-03,19-035,CLE,@,DET,W (+3),1.0,38:11,5.0,19.0,0.263,0.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,6.0,2.0,0.0,1.0,2.0,12.0,6.7,-1.0
46.0,2004-02-04,19-036,CLE,,LAL,L (-5),1.0,43:05,12.0,26.0,0.462,4.0,4.0,1.0,4.0,5.0,0.8,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,32.0,22.2,-2.0
47.0,2004-02-06,19-038,CLE,@,MIN,L (-11),1.0,44:35,6.0,18.0,0.333,1.0,3.0,0.333,1.0,4.0,0.25,1.0,8.0,9.0,5.0,0.0,0.0,3.0,2.0,14.0,5.4,-16.0
48.0,2004-02-07,19-039,CLE,,WAS,L (-18),1.0,34:04,6.0,16.0,0.375,0.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,6.0,4.0,1.0,3.0,2.0,14.0,10.3,-24.0
49.0,2004-02-09,19-041,CLE,,BOS,W (+8),1.0,43:18,9.0,25.0,0.36,1.0,6.0,0.167,5.0,6.0,0.833,0.0,6.0,6.0,3.0,2.0,1.0,1.0,3.0,24.0,14.1,19.0
50.0,2004-02-11,19-043,CLE,,NJN,L (-20),1.0,29:32,2.0,13.0,0.154,0.0,1.0,0.0,5.0,5.0,1.0,1.0,1.0,2.0,5.0,1.0,0.0,5.0,0.0,9.0,1.2,-12.0
51.0,2004-02-18,19-050,CLE,,DAL,L (-16),1.0,33:39,6.0,12.0,0.5,0.0,0.0,,4.0,4.0,1.0,2.0,2.0,4.0,9.0,0.0,1.0,5.0,2.0,16.0,13.2,-15.0
