,G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1.0,2007-10-31,22-305,CLE,,DAL,L (-18),1.0,36:09,2.0,11.0,0.182,0.0,2.0,0.0,6.0,10.0,0.6,1.0,4.0,5.0,4.0,1.0,0.0,5.0,4.0,10.0,0.6,-12.0
1,2.0,2007-11-02,22-307,CLE,,NYK,W (+4),1.0,44:25,13.0,28.0,0.464,3.0,5.0,0.6,16.0,22.0,0.727,3.0,4.0,7.0,7.0,3.0,1.0,3.0,1.0,45.0,36.7,4.0
2,3.0,2007-11-04,22-309,CLE,@,PHO,L (-11),1.0,43:13,11.0,26.0,0.423,3.0,5.0,0.6,2.0,2.0,1.0,1.0,4.0,5.0,8.0,2.0,4.0,3.0,0.0,27.0,22.5,-18.0
3,4.0,2007-11-06,22-311,CLE,@,GSW,W (+4),1.0,41:51,9.0,16.0,0.563,1.0,2.0,0.5,5.0,7.0,0.714,1.0,12.0,13.0,9.0,0.0,3.0,2.0,1.0,24.0,25.9,4.0
4,5.0,2007-11-07,22-312,CLE,@,UTA,L (-2),1.0,40:45,12.0,27.0,0.444,1.0,4.0,0.25,7.0,15.0,0.467,2.0,13.0,15.0,13.0,3.0,2.0,4.0,4.0,32.0,27.9,4.0
5,6.0,2007-11-09,22-314,CLE,@,SAC,W (+2),1.0,43:51,10.0,19.0,0.526,0.0,2.0,0.0,6.0,8.0,0.75,0.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,26.0,20.2,-1.0
6,7.0,2007-11-11,22-316,CLE,@,LAC,W (+8),1.0,35:55,9.0,21.0,0.429,0.0,2.0,0.0,4.0,8.0,0.5,1.0,4.0,5.0,8.0,6.0,1.0,5.0,3.0,22.0,17.3,11.0
7,8.0,2007-11-12,22-317,CLE,@,DEN,L (-22),1.0,33:47,9.0,16.0,0.563,1.0,3.0,0.333,8.0,14.0,0.571,0.0,1.0,1.0,4.0,2.0,0.0,4.0,3.0,27.0,16.9,-13.0
8,9.0,2007-11-14,22-319,CLE,,ORL,L (-1),1.0,47:14,15.0,27.0,0.556,2.0,4.0,0.5,7.0,9.0,0.778,4.0,9.0,13.0,14.0,0.0,2.0,4.0,1.0,39.0,37.6,2.0
9,10.0,2007-11-16,22-321,CLE,,UTA,W (+5),1.0,40:16,13.0,27.0,0.481,1.0,3.0,0.333,13.0,15.0,0.867,2.0,8.0,10.0,9.0,0.0,3.0,5.0,3.0,40.0,31.5,13.0
10,11.0,2007-11-20,22-325,CLE,,MIL,L (-4),1.0,44:06,11.0,22.0,0.5,1.0,7.0,0.143,11.0,12.0,0.917,0.0,7.0,7.0,7.0,1.0,1.0,3.0,4.0,34.0,26.7,-2.0
11,12.0,2007-11-21,22-326,CLE,@,MIN,W (+11),1.0,39:03,17.0,26.0,0.654,6.0,10.0,0.6,5.0,8.0,0.625,2.0,6.0,8.0,5.0,3.0,2.0,3.0,2.0,45.0,39.7,14.0
12,13.0,2007-11-24,22-329,CLE,,TOR,W (+3),1.0,44:41,14.0,29.0,0.483,2.0,8.0,0.25,7.0,8.0,0.875,3.0,9.0,12.0,12.0,3.0,1.0,4.0,3.0,37.0,33.6,7.0
13,14.0,2007-11-25,22-330,CLE,@,IND,W (+5),1.0,35:47,10.0,21.0,0.476,1.0,6.0,0.167,9.0,15.0,0.6,3.0,8.0,11.0,10.0,4.0,1.0,2.0,1.0,30.0,30.7,9.0
14,15.0,2007-11-27,22-332,CLE,,BOS,W (+5),1.0,45:46,11.0,25.0,0.44,2.0,8.0,0.25,14.0,15.0,0.933,0.0,4.0,4.0,13.0,2.0,2.0,3.0,2.0,38.0,34.4,14.0
15,16.0,2007-11-28,22-333,CLE,@,DET,L (-35),1.0,19:31,5.0,11.0,0.455,0.0,2.0,0.0,5.0,9.0,0.556,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,15.0,9.7,-2.0
16,17.0,2007-12-11,22-346,CLE,,IND,W (+13),0.0,22:37,5.0,9.0,0.556,0.0,1.0,0.0,7.0,10.0,0.7,1.0,2.0,3.0,5.0,1.0,1.0,4.0,2.0,17.0,13.2,27.0
17,18.0,2007-12-14,22-349,CLE,@,NJN,L (-8),1.0,41:09,12.0,25.0,0.48,3.0,9.0,0.333,2.0,3.0,0.667,0.0,6.0,6.0,8.0,2.0,0.0,6.0,3.0,29.0,18.1,6.0
18,19.0,2007-12-15,22-350,CLE,,PHI,L (-6),1.0,41:46,10.0,18.0,0.556,0.0,1.0,0.0,1.0,1.0,1.0,0.0,6.0,6.0,6.0,0.0,1.0,3.0,1.0,21.0,15.7,5.0
19,20.0,2007-12-17,22-352,CLE,,MIL,W (+5),1.0,50:13,10.0,25.0,0.4,0.0,5.0,0.0,11.0,13.0,0.846,1.0,7.0,8.0,5.0,1.0,0.0,2.0,3.0,31.0,20.8,6.0
20,21.0,2007-12-19,22-354,CLE,@,NYK,L (-18),1.0,36:52,12.0,21.0,0.571,3.0,6.0,0.5,5.0,6.0,0.833,1.0,7.0,8.0,6.0,6.0,0.0,4.0,1.0,32.0,30.3,-9.0
21,22.0,2007-12-20,22-355,CLE,,LAL,W (+4),1.0,38:28,12.0,29.0,0.414,0.0,3.0,0.0,9.0,11.0,0.818,4.0,6.0,10.0,5.0,1.0,1.0,3.0,3.0,33.0,22.3,-7.0
22,23.0,2007-12-23,22-358,CLE,,GSW,L (-9),1.0,40:51,8.0,20.0,0.4,0.0,2.0,0.0,9.0,13.0,0.692,2.0,3.0,5.0,8.0,1.0,1.0,3.0,2.0,25.0,18.4,-12.0
23,24.0,2007-12-25,22-360,CLE,,MIA,W (+14),1.0,38:36,9.0,19.0,0.474,0.0,3.0,0.0,7.0,11.0,0.636,0.0,6.0,6.0,12.0,1.0,1.0,2.0,3.0,25.0,22.4,18.0
