G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1.0,2016-10-25,31-300,CLE,,NYK,W (+29),1.0,32:23,9.0,14.0,0.643,0.0,3.0,0.0,1.0,2.0,0.5,3.0,8.0,11.0,14.0,0.0,1.0,4.0,3.0,19.0,22.2,26.0
2.0,2016-10-28,31-303,CLE,@,TOR,W (+3),1.0,38:40,7.0,16.0,0.438,2.0,6.0,0.333,5.0,7.0,0.714,2.0,6.0,8.0,7.0,0.0,0.0,5.0,2.0,21.0,14.1,0.0
3.0,2016-10-29,31-304,CLE,,ORL,W (+6),1.0,39:00,7.0,16.0,0.438,2.0,6.0,0.333,7.0,11.0,0.636,1.0,5.0,6.0,9.0,1.0,1.0,2.0,2.0,23.0,20.4,1.0
4.0,2016-11-01,31-307,CLE,,HOU,W (+8),1.0,35:51,6.0,12.0,0.5,1.0,3.0,0.333,6.0,10.0,0.6,3.0,10.0,13.0,8.0,0.0,0.0,4.0,4.0,19.0,16.5,15.0
5.0,2016-11-03,31-309,CLE,,BOS,W (+6),1.0,36:22,12.0,22.0,0.545,1.0,4.0,0.25,5.0,5.0,1.0,1.0,6.0,7.0,12.0,1.0,0.0,2.0,2.0,30.0,28.5,18.0
6.0,2016-11-05,31-311,CLE,@,PHI,W (+1),1.0,35:52,9.0,23.0,0.391,1.0,5.0,0.2,6.0,7.0,0.857,1.0,7.0,8.0,14.0,2.0,1.0,5.0,1.0,25.0,22.0,11.0
7.0,2016-11-08,31-314,CLE,,ATL,L (-4),1.0,36:52,8.0,17.0,0.471,2.0,5.0,0.4,5.0,5.0,1.0,2.0,7.0,9.0,5.0,3.0,0.0,1.0,3.0,23.0,22.1,7.0
8.0,2016-11-11,31-317,CLE,@,WAS,W (+11),1.0,38:06,9.0,18.0,0.5,3.0,4.0,0.75,6.0,9.0,0.667,0.0,10.0,10.0,5.0,2.0,2.0,6.0,1.0,27.0,20.3,7.0
9.0,2016-11-13,31-319,CLE,,CHO,W (+7),1.0,38:42,8.0,21.0,0.381,2.0,5.0,0.4,1.0,2.0,0.5,0.0,8.0,8.0,8.0,1.0,1.0,3.0,0.0,19.0,13.8,12.0
10.0,2016-11-15,31-321,CLE,,TOR,W (+4),1.0,38:04,10.0,15.0,0.667,2.0,5.0,0.4,6.0,10.0,0.6,0.0,9.0,9.0,15.0,1.0,0.0,5.0,2.0,28.0,28.3,1.0
11.0,2016-11-18,31-324,CLE,,DET,W (+23),1.0,28:03,9.0,14.0,0.643,1.0,3.0,0.333,2.0,3.0,0.667,0.0,3.0,3.0,3.0,0.0,1.0,2.0,1.0,21.0,15.7,21.0
12.0,2016-11-23,31-329,CLE,,POR,W (+12),1.0,37:30,11.0,21.0,0.524,2.0,3.0,0.667,7.0,8.0,0.875,1.0,9.0,10.0,13.0,3.0,0.0,3.0,0.0,31.0,32.8,17.0
13.0,2016-11-25,31-331,CLE,,DAL,W (+38),1.0,29:03,6.0,13.0,0.462,2.0,5.0,0.4,5.0,5.0,1.0,0.0,5.0,5.0,11.0,1.0,0.0,4.0,1.0,19.0,18.1,33.0
14.0,2016-11-27,31-333,CLE,@,PHI,W (+4),1.0,41:30,9.0,19.0,0.474,1.0,4.0,0.25,7.0,9.0,0.778,2.0,8.0,10.0,13.0,1.0,0.0,5.0,0.0,26.0,24.4,2.0
15.0,2016-11-29,31-335,CLE,@,MIL,L (-17),1.0,32:53,8.0,16.0,0.5,3.0,8.0,0.375,3.0,7.0,0.429,0.0,4.0,4.0,4.0,0.0,0.0,7.0,3.0,22.0,8.2,-12.0
16.0,2016-12-01,31-337,CLE,,LAC,L (-19),1.0,33:37,5.0,14.0,0.357,0.0,2.0,0.0,6.0,11.0,0.545,1.0,4.0,5.0,5.0,2.0,0.0,5.0,2.0,16.0,7.8,-20.0
17.0,2016-12-02,31-338,CLE,@,CHI,L (-6),1.0,44:40,13.0,22.0,0.591,1.0,3.0,0.333,0.0,0.0,,0.0,5.0,5.0,13.0,0.0,0.0,8.0,2.0,27.0,18.6,-2.0
18.0,2016-12-05,31-341,CLE,@,TOR,W (+4),1.0,42:01,12.0,26.0,0.462,2.0,7.0,0.286,8.0,9.0,0.889,3.0,5.0,8.0,7.0,2.0,0.0,1.0,2.0,34.0,28.9,9.0
19.0,2016-12-07,31-343,CLE,@,NYK,W (+32),1.0,32:27,7.0,10.0,0.7,1.0,2.0,0.5,10.0,14.0,0.714,2.0,4.0,6.0,7.0,1.0,2.0,4.0,2.0,25.0,24.3,32.0
20.0,2016-12-09,31-345,CLE,,MIA,W (+30),1.0,37:19,12.0,22.0,0.545,1.0,3.0,0.333,2.0,4.0,0.5,2.0,6.0,8.0,8.0,3.0,0.0,3.0,2.0,27.0,23.6,22.0
