,G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1.0,2005-11-02,20-307,CLE,,NOK,W (+22),1.0,33:23,9.0,16.0,0.563,6.0,7.0,0.857,7.0,8.0,0.875,1.0,2.0,3.0,4.0,2.0,0.0,3.0,3.0,31.0,24.9,22.0
1,2.0,2005-11-04,20-309,CLE,@,SAS,L (-26),1.0,36:34,7.0,16.0,0.438,0.0,3.0,0.0,6.0,7.0,0.857,0.0,6.0,6.0,4.0,0.0,1.0,3.0,3.0,20.0,12.3,-19.0
2,3.0,2005-11-05,20-310,CLE,@,MEM,L (-7),1.0,40:51,14.0,29.0,0.483,4.0,9.0,0.444,4.0,5.0,0.8,0.0,2.0,2.0,6.0,2.0,0.0,2.0,2.0,36.0,24.9,-3.0
3,4.0,2005-11-07,20-312,CLE,@,TOR,W (+12),1.0,36:28,9.0,17.0,0.529,0.0,2.0,0.0,9.0,12.0,0.75,0.0,3.0,3.0,6.0,1.0,2.0,1.0,3.0,27.0,22.8,0.0
4,5.0,2005-11-09,20-314,CLE,,SEA,W (+27),1.0,35:38,10.0,18.0,0.556,0.0,2.0,0.0,11.0,11.0,1.0,1.0,4.0,5.0,1.0,0.0,1.0,4.0,1.0,31.0,21.3,25.0
5,6.0,2005-11-11,20-316,CLE,,MEM,W (+19),1.0,25:40,5.0,11.0,0.455,0.0,1.0,0.0,6.0,6.0,1.0,1.0,5.0,6.0,2.0,3.0,1.0,3.0,5.0,16.0,12.6,24.0
6,7.0,2005-11-13,20-318,CLE,@,ORL,W (+8),1.0,48:54,9.0,20.0,0.45,1.0,4.0,0.25,7.0,11.0,0.636,0.0,5.0,5.0,3.0,0.0,1.0,2.0,2.0,26.0,15.5,7.0
7,8.0,2005-11-15,20-320,CLE,,WAS,W (+15),1.0,42:26,15.0,23.0,0.652,2.0,3.0,0.667,5.0,5.0,1.0,1.0,9.0,10.0,4.0,0.0,2.0,3.0,1.0,37.0,31.1,17.0
8,9.0,2005-11-18,20-323,CLE,,ORL,W (+18),1.0,33:56,6.0,17.0,0.353,0.0,3.0,0.0,4.0,6.0,0.667,1.0,5.0,6.0,4.0,2.0,0.0,4.0,2.0,16.0,7.9,25.0
9,10.0,2005-11-19,20-324,CLE,@,PHI,W (+3),1.0,46:51,14.0,24.0,0.583,0.0,2.0,0.0,8.0,10.0,0.8,2.0,9.0,11.0,10.0,1.0,1.0,5.0,1.0,36.0,31.4,8.0
10,11.0,2005-11-22,20-327,CLE,,BOS,W (+22),1.0,40:59,13.0,20.0,0.65,1.0,3.0,0.333,9.0,11.0,0.818,0.0,5.0,5.0,4.0,2.0,2.0,1.0,4.0,36.0,31.5,14.0
11,12.0,2005-11-24,20-329,CLE,@,IND,L (-22),1.0,43:02,6.0,20.0,0.3,0.0,4.0,0.0,7.0,11.0,0.636,1.0,9.0,10.0,4.0,5.0,1.0,6.0,4.0,19.0,10.1,-18.0
12,13.0,2005-11-26,20-331,CLE,,MIN,L (-4),1.0,44:04,13.0,29.0,0.448,6.0,11.0,0.545,6.0,6.0,1.0,2.0,3.0,5.0,2.0,4.0,0.0,2.0,2.0,38.0,27.8,-3.0
13,14.0,2005-11-30,20-335,CLE,,LAC,W (+7),1.0,49:56,7.0,20.0,0.35,0.0,3.0,0.0,14.0,17.0,0.824,0.0,7.0,7.0,9.0,1.0,1.0,6.0,1.0,28.0,19.3,6.0
14,15.0,2005-12-02,20-337,CLE,@,SEA,L (-7),1.0,45:07,14.0,27.0,0.519,0.0,5.0,0.0,6.0,8.0,0.75,0.0,3.0,3.0,8.0,1.0,3.0,1.0,1.0,34.0,28.1,-2.0
15,16.0,2005-12-03,20-338,CLE,@,LAC,L (-12),1.0,44:41,8.0,25.0,0.32,3.0,5.0,0.6,11.0,14.0,0.786,0.0,5.0,5.0,6.0,1.0,1.0,1.0,3.0,30.0,19.7,-11.0
16,17.0,2005-12-06,20-341,CLE,@,SAC,W (+5),1.0,44:19,10.0,23.0,0.435,1.0,5.0,0.2,9.0,12.0,0.75,2.0,4.0,6.0,6.0,2.0,3.0,5.0,2.0,30.0,21.8,3.0
17,18.0,2005-12-09,20-344,CLE,,NJN,L (-9),1.0,44:49,11.0,26.0,0.423,0.0,4.0,0.0,10.0,15.0,0.667,2.0,4.0,6.0,3.0,0.0,1.0,7.0,3.0,32.0,13.4,-4.0
18,19.0,2005-12-10,20-345,CLE,@,MIL,L (-5),1.0,42:48,19.0,29.0,0.655,5.0,9.0,0.556,9.0,10.0,0.9,0.0,7.0,7.0,7.0,2.0,0.0,3.0,5.0,52.0,42.9,-3.0
19,20.0,2005-12-13,20-348,CLE,,ATL,L (-6),1.0,45:08,13.0,23.0,0.565,3.0,6.0,0.5,10.0,16.0,0.625,0.0,10.0,10.0,6.0,2.0,0.0,6.0,5.0,39.0,26.9,-4.0
20,21.0,2005-12-15,20-350,CLE,,DEN,W (+9),1.0,45:06,11.0,18.0,0.611,1.0,4.0,0.25,3.0,6.0,0.5,0.0,4.0,4.0,9.0,1.0,0.0,3.0,3.0,26.0,20.9,16.0
21,22.0,2005-12-17,20-352,CLE,,MIA,W (+8),1.0,46:23,12.0,19.0,0.632,2.0,4.0,0.5,15.0,16.0,0.938,0.0,5.0,5.0,10.0,1.0,0.0,4.0,3.0,41.0,36.4,9.0
22,23.0,2005-12-20,20-355,CLE,,UTA,W (+25),1.0,28:55,8.0,12.0,0.667,1.0,1.0,1.0,8.0,9.0,0.889,2.0,4.0,6.0,4.0,3.0,2.0,5.0,1.0,25.0,23.8,20.0
23,24.0,2005-12-22,20-357,CLE,@,CHI,W (+8),1.0,43:51,12.0,25.0,0.48,4.0,6.0,0.667,9.0,13.0,0.692,0.0,5.0,5.0,6.0,4.0,0.0,2.0,2.0,37.0,29.6,15.0
24,25.0,2005-12-23,20-358,CLE,,IND,W (+5),1.0,43:51,4.0,16.0,0.25,0.0,1.0,0.0,6.0,11.0,0.545,1.0,7.0,8.0,9.0,1.0,0.0,3.0,1.0,14.0,9.1,1.0
25,26.0,2005-12-26,20-361,CLE,,CHI,W (+11),1.0,44:58,12.0,25.0,0.48,0.0,5.0,0.0,8.0,12.0,0.667,1.0,7.0,8.0,6.0,2.0,2.0,2.0,0.0,32.0,26.1,14.0
26,27.0,2005-12-27,20-362,CLE,@,NJN,L (-5),1.0,40:18,12.0,21.0,0.571,1.0,5.0,0.2,6.0,9.0,0.667,1.0,9.0,10.0,8.0,2.0,0.0,4.0,3.0,31.0,25.7,-2.0
